tube_assembly_id,total weight,NA,,,,,,,,component_id_1,quantity_1,component_id_2,quantity_2,component_id_3,quantity_3,component_id_4,quantity_4,component_id_5,quantity_5,component_id_6,quantity_6,component_id_7,quantity_7,component_id_8,quantity_8
TA-00046,0.058,0.058,0,0,0,0,0,0,0,C-1233,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00047,0.076,0.032,0.006,0,0,0,0,0,0,C-0448,2,C-0449,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00048,0.262,0.111,0.02,0,0,0,0,0,0,C-0444,2,C-0445,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00049,0.131,0.111,0.02,0,0,0,0,0,0,C-0444,1,C-0445,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00050,0.048,0.019,0.005,0,0,0,0,0,0,C-1243,2,C-1244,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00051,2.23,2.23,0,0,0,0,0,0,0,C-0027,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00052,0.491,0.052,0.129,0.033,0.225,0,0,0,0,C-1536,2,C-1625,1,C-1632,1,C-1642,1,NA,NA,NA,NA,NA,NA,NA,NA
TA-00053,0.042,0.015,0.006,0,0,0,0,0,0,C-1621,2,C-1628,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00054,0.042,0.015,0.006,0,0,0,0,0,0,C-1621,2,C-1628,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00055,0.112,0.044,0.018,0.05,0,0,0,0,0,C-1623,1,C-1630,1,C-1647,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00056,0.112,0.044,0.018,0.05,0,0,0,0,0,C-1623,1,C-1630,1,C-1647,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00057,0.387,0.129,0.033,0.225,0,0,0,0,0,C-1625,1,C-1632,1,C-1642,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00058,0.018,0.009,0,0,0,0,0,0,0,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00059,15.097,0.06,8.89,4.485,1.662,0,0,0,0,C-1780,1,C-0013,1,C-0032,1,C-0033,1,NA,NA,NA,NA,NA,NA,NA,NA
TA-00060,0.018,0.009,0,0,0,0,0,0,0,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00061,0.018,0.009,0,0,0,0,0,0,0,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00062,0.042,0.015,0.006,0,0,0,0,0,0,C-1621,2,C-1628,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00063,0.042,0.015,0.006,0,0,0,0,0,0,C-1621,2,C-1628,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00064,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00065,0.56,0.28,0,0,0,0,0,0,0,C-1767,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00066,0.214,0.169,0.045,0,0,0,0,0,0,C-1565,1,C-1724,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00067,0.035,0.035,0,0,0,0,0,0,0,C-1941,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00068,0.09,0.09,0,0,0,0,0,0,0,C-1555,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00069,0.07,0.023,0.003,0.041,0,0,0,0,0,C-1374,1,C-1369,2,C-1375,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00070,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00071,0.014,0.014,0,0,0,0,0,0,0,C-1817,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00072,0.782,0.332,0.418,0.032,0,0,0,0,0,C-1345,1,C-1502,1,C-1970,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00073,0.033,0.033,0,0,0,0,0,0,0,C-1355,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00074,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00075,0.018,0.009,0,0,0,0,0,0,0,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00076,0.018,0.009,0,0,0,0,0,0,0,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00077,0.018,0.009,0,0,0,0,0,0,0,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00078,0.018,0.009,0,0,0,0,0,0,0,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00079,0.018,0.009,0,0,0,0,0,0,0,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00080,0.018,0.009,0,0,0,0,0,0,0,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00081,0.018,0.009,0,0,0,0,0,0,0,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00082,0.018,0.009,0,0,0,0,0,0,0,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00083,0.018,0.009,0,0,0,0,0,0,0,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00084,0.018,0.009,0,0,0,0,0,0,0,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00085,0.018,0.009,0,0,0,0,0,0,0,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00086,0.018,0.009,0,0,0,0,0,0,0,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00087,0.018,0.009,0,0,0,0,0,0,0,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00088,0.018,0.009,0,0,0,0,0,0,0,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00089,0.018,0.009,0,0,0,0,0,0,0,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00090,0.018,0.009,0,0,0,0,0,0,0,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00091,0.018,0.009,0,0,0,0,0,0,0,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00092,0.018,0.009,0,0,0,0,0,0,0,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00093,0.018,0.009,0,0,0,0,0,0,0,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00094,0.018,0.009,0,0,0,0,0,0,0,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00095,0.018,0.009,0,0,0,0,0,0,0,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00096,0.018,0.009,0,0,0,0,0,0,0,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00097,0.042,0.015,0.006,0,0,0,0,0,0,C-1621,2,C-1628,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00098,0.616,0.454,0.129,0.033,0,0,0,0,0,C-1538,1,C-1625,1,C-1632,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00099,0.221,0.221,0,0,0,0,0,0,0,C-1993,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00100,0.042,0.015,0.006,0,0,0,0,0,0,C-1621,2,C-1628,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00101,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00102,0.028,0.012,0.002,0,0,0,0,0,0,C-1845,2,C-1846,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00103,1.37,1.298,0.018,0,0,0,0,0,0,C-1521,1,C-1831,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00104,0.096,0.036,0.012,0,0,0,0,0,0,C-1622,2,C-1629,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00105,0.079,0.079,0,0,0,0,0,0,0,C-1670,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00106,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00107,0.055,0,0.009,0.046,0,0,0,0,0,C-0441,1,C-1420,1,C-1421,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00108,1.978,0.129,0.033,1.816,0,0,0,0,0,C-1625,1,C-1632,1,C-1842,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00109,1.978,0.129,0.033,1.816,0,0,0,0,0,C-1625,1,C-1632,1,C-1842,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00110,0.169,0.169,0,0,0,0,0,0,0,C-0038,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00111,2.514,0.064,1.154,1.232,0,0,0,0,0,C-1585,2,C-1598,1,C-1759,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00112,0.036,0.002,0.004,0.012,0.002,0,0,0,0,C-0055,1,C-0056,5,C-1845,1,C-1846,1,NA,NA,NA,NA,NA,NA,NA,NA
TA-00113,0.042,0.016,0.005,0,0,0,0,0,0,C-1620,2,C-1627,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00114,0.028,0.012,0.002,0,0,0,0,0,0,C-1845,2,C-1846,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00115,0.028,0.012,0.002,0,0,0,0,0,0,C-1845,2,C-1846,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00116,0.028,0.012,0.002,0,0,0,0,0,0,C-1845,2,C-1846,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00117,0.11,0.009,0.046,0,0,0,0,0,0,C-1420,2,C-1421,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00118,0.096,0.036,0.012,0,0,0,0,0,0,C-1622,2,C-1629,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00119,0.042,0.015,0.006,0,0,0,0,0,0,C-1621,2,C-1628,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00120,0.042,0.015,0.006,0,0,0,0,0,0,C-1621,2,C-1628,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00121,0.042,0.015,0.006,0,0,0,0,0,0,C-1621,2,C-1628,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00122,0.042,0.015,0.006,0,0,0,0,0,0,C-1621,2,C-1628,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00123,0.21,0.035,0.026,0.149,0,0,0,0,0,C-1624,1,C-1631,1,C-1641,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00124,0.009,0.009,0,0,0,0,0,0,0,C-1312,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00125,0.387,0.129,0.033,0.225,0,0,0,0,0,C-1625,1,C-1632,1,C-1642,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00126,0.122,0.035,0.026,0,0,0,0,0,0,C-1624,2,C-1631,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00127,0.042,0.015,0.006,0,0,0,0,0,0,C-1621,2,C-1628,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00128,0.08,0.04,0,0,0,0,0,0,0,C-1638,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00129,0.042,0.016,0.005,0,0,0,0,0,0,C-1620,2,C-1627,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00130,0.042,0.016,0.005,0,0,0,0,0,0,C-1620,2,C-1627,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00131,0.324,0.129,0.033,0,0,0,0,0,0,C-1625,2,C-1632,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00132,0.21,0.035,0.026,0.149,0,0,0,0,0,C-1624,1,C-1631,1,C-1641,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00133,0.21,0.035,0.026,0.149,0,0,0,0,0,C-1624,1,C-1631,1,C-1641,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00134,0.21,0.035,0.026,0.149,0,0,0,0,0,C-1624,1,C-1631,1,C-1641,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00135,0.014,0.014,0,0,0,0,0,0,0,C-1817,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00136,0.042,0.015,0.006,0,0,0,0,0,0,C-1621,2,C-1628,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00137,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00138,0.067,0.067,0,0,0,0,0,0,0,C-1750,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00139,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00140,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00141,0.15,0.128,0.022,0,0,0,0,0,0,C-1468,1,C-1474,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00142,0.09,0.032,0.058,0,0,0,0,0,0,C-1476,1,C-1481,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00143,2.87,1.435,0,0,0,0,0,0,0,C-1882,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00144,2.119,0.243,1.876,0,0,0,0,0,0,C-1717,1,C-2016,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00145,0.018,0.009,0,0,0,0,0,0,0,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00146,0.018,0.009,0,0,0,0,0,0,0,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00147,0.018,0.009,0,0,0,0,0,0,0,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00148,0.018,0.009,0,0,0,0,0,0,0,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00149,0.018,0.009,0,0,0,0,0,0,0,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00150,0.018,0.009,0,0,0,0,0,0,0,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00151,0.291,0.291,0,0,0,0,0,0,0,C-1532,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00152,0.09,0.09,0,0,0,0,0,0,0,C-0468,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00153,0.042,0.015,0.006,0,0,0,0,0,0,C-1621,2,C-1628,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00154,0.314,0.129,0.025,0.16,0,0,0,0,0,C-1625,1,C-1635,1,C-1644,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00155,0.314,0.129,0.025,0.16,0,0,0,0,0,C-1625,1,C-1635,1,C-1644,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00156,0.028,0.012,0.002,0,0,0,0,0,0,C-1845,2,C-1846,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00157,0.46,0.22,0.24,0,0,0,0,0,0,C-1649,1,C-1909,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00158,0.1,0.05,0,0,0,0,0,0,0,C-1647,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00159,0.387,0.129,0.033,0.225,0,0,0,0,0,C-1625,1,C-1632,1,C-1642,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00160,0.1,0.05,0,0,0,0,0,0,0,C-1647,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00161,0.042,0.015,0.006,0,0,0,0,0,0,C-1621,2,C-1628,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00162,0.064,0.032,0,0,0,0,0,0,0,C-1476,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00163,0.048,0.019,0.005,0,0,0,0,0,0,C-1243,2,C-1244,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00164,0.024,0.019,0.005,0,0,0,0,0,0,C-1243,1,C-1244,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00165,0.07,0.033,0.037,0,0,0,0,0,0,C-1355,1,C-1563,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00166,0.197,0.197,0,0,0,0,0,0,0,C-1925,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00167,0.262,0.111,0.02,0,0,0,0,0,0,C-0444,2,C-0445,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00168,0.022,0.022,0,0,0,0,0,0,0,C-1474,1,C-1596,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00169,0.028,0.012,0.002,0,0,0,0,0,0,C-1845,2,C-1846,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00170,0.2,0.15,0.05,0,0,0,0,0,0,C-1218,1,C-1647,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00171,0.403,0.16,0.243,0,0,0,0,0,0,C-1644,1,C-1908,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00172,0.403,0.16,0.243,0,0,0,0,0,0,C-1644,1,C-1908,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00173,0.114,0.035,0.05,0.029,0,0,0,0,0,C-1624,1,C-1647,1,C-1654,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00174,0.382,0.129,0.033,0.22,0,0,0,0,0,C-1625,1,C-1632,1,C-1649,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
