tube_assembly_id,quantity,cost
TA-00064,No,60,2.18391636017649
TA-00066,No,1,1.26305481212755
TA-00068,Yes,1,4.78792363804299
TA-00073,No,1,10.7470941393144
TA-00076,Yes,1,22.5068577755769
TA-00076,Yes,2,12.9421387357211
TA-00076,Yes,5,7.2027508999961
TA-00076,Yes,10,5.29147632745948
TA-00076,Yes,25,4.14248593669146
TA-00076,Yes,50,3.8253312041308
TA-00076,Yes,100,3.68622825125332
TA-00076,Yes,250,3.59998442046928
TA-00077,Yes,3,35.3043294403054
TA-00077,Yes,6,23.1578595950435
TA-00077,Yes,9,18.792808933748
TA-00077,Yes,12,16.2472248960901
TA-00078,Yes,1,21.6054706409308
TA-00078,Yes,2,12.040751601075
TA-00078,Yes,5,6.30136376535001
TA-00078,Yes,10,4.38730713375583
TA-00078,Yes,25,3.24109880204537
TA-00078,Yes,50,2.92394406948471
TA-00078,Yes,100,2.78205905754967
TA-00078,Yes,250,2.69859728582318
TA-00080,Yes,1,21.5387012235496
TA-00080,Yes,2,11.9739821836938
TA-00080,Yes,5,6.23459434796882
TA-00080,Yes,10,4.32053771637464
TA-00080,Yes,25,3.17432938466418
TA-00080,Yes,50,2.85717465210351
TA-00080,Yes,100,2.71807169922603
TA-00080,Yes,250,2.63182786844199
TA-00082,Yes,1,21.4914062195712
TA-00082,Yes,2,11.9266871797154
TA-00082,Yes,5,6.18729934399047
TA-00082,Yes,10,4.2732427123963
TA-00082,Yes,25,3.12703438068583
TA-00082,Yes,50,2.80987964812517
TA-00082,Yes,100,2.66799463619014
TA-00082,Yes,250,2.58453286446365
TA-00083,Yes,1,21.4914062195712
TA-00083,Yes,2,11.9266871797154
TA-00083,Yes,5,6.18729934399047
TA-00083,Yes,10,4.2732427123963
TA-00083,Yes,25,3.12703438068583
TA-00083,Yes,50,2.80987964812517
TA-00083,Yes,100,2.66799463619014
TA-00083,Yes,250,2.58453286446365
TA-00084,Yes,1,21.5971244637581
TA-00084,Yes,2,12.0324054239023
TA-00084,Yes,5,6.29301758817736
TA-00084,Yes,10,4.37896095658319
TA-00084,Yes,25,3.23275262487272
TA-00084,Yes,50,2.91559789231206
TA-00084,Yes,100,2.77371288037702
TA-00084,Yes,250,2.69025110865053
TA-00085,Yes,1,21.5637397550675
TA-00085,Yes,2,11.9990207152117
TA-00085,Yes,5,6.25963287948677
TA-00085,Yes,10,4.34557624789259
TA-00085,Yes,25,3.19936791618212
TA-00085,Yes,50,2.88221318362146
TA-00085,Yes,100,2.74311023074398
TA-00085,Yes,250,2.65686639995994
TA-00086,Yes,1,21.1909438413559
TA-00086,Yes,2,11.6262248015001
TA-00086,Yes,5,5.88683696577511
TA-00086,Yes,10,3.97556239323848
TA-00086,Yes,25,2.82657200247047
TA-00086,Yes,50,2.51219932896735
TA-00086,Yes,100,2.37031431703232
TA-00086,Yes,250,2.28685254530583
TA-00087,Yes,1,21.2159823728738
TA-00087,Yes,2,11.651263333018
TA-00087,Yes,5,5.91187549729306
TA-00087,Yes,10,4.00060092475643
TA-00087,Yes,25,2.85161053398842
TA-00087,Yes,50,2.5372378604853
TA-00087,Yes,100,2.39535284855027
TA-00087,Yes,250,2.30910901776623
TA-00088,No,8,7.56163651842001
TA-00091,Yes,1,21.5387012235496
TA-00091,Yes,2,11.9739821836938
TA-00091,Yes,5,6.23459434796882
TA-00091,Yes,10,4.32053771637464
TA-00091,Yes,25,3.17432938466418
TA-00091,Yes,50,2.85717465210351
TA-00091,Yes,100,2.71807169922603
TA-00091,Yes,250,2.63182786844199
TA-00092,Yes,1,21.5720859322402
TA-00092,Yes,2,12.0073668923844
TA-00092,Yes,5,6.26797905665941
TA-00092,Yes,10,4.35392242506524
TA-00092,Yes,25,3.20771409335477
TA-00092,Yes,50,2.89055936079411
TA-00092,Yes,100,2.75145640791663
TA-00092,Yes,250,2.66521257713259
TA-00093,Yes,1,21.5971244637581
TA-00093,Yes,2,12.0324054239023
TA-00093,Yes,5,6.29301758817736
TA-00093,Yes,10,4.37896095658319
TA-00093,Yes,25,3.23275262487272
TA-00093,Yes,50,2.91559789231206
TA-00093,Yes,100,2.77371288037702
TA-00093,Yes,250,2.69025110865053
TA-00096,Yes,1,21.3801238572692
TA-00096,Yes,2,11.8154048174135
TA-00096,Yes,5,6.07879904074604
TA-00096,Yes,10,4.16474240915186
TA-00096,Yes,25,3.0185340774414
TA-00096,Yes,50,2.70137934488073
TA-00096,Yes,100,2.5594943329457
TA-00096,Yes,250,2.47603256121921
TA-00099,Yes,1,27.3420764175982
TA-00099,Yes,2,17.1513940897937
TA-00099,Yes,5,11.0364282812996
TA-00099,Yes,10,8.99996105117319
TA-00099,Yes,25,7.77585506585134
TA-00099,Yes,50,7.43644386083028
TA-00099,Yes,100,7.2806485536075
TA-00099,Yes,250,7.18884060470836
TA-00101,No,1,7.09425059675167
TA-00104,Yes,1,29.487043950969
TA-00104,Yes,6,7.93165037307412
TA-00104,Yes,20,3.95330592077809
TA-00105,Yes,2,107.83817318874
TA-00105,Yes,4,61.9648013888039
TA-00105,Yes,6,46.427001552389
TA-00105,Yes,8,38.840326502451
TA-00105,Yes,10,34.2888778842997
TA-00107,Yes,2,23.5584760993306
TA-00107,Yes,4,20.6150576164431
TA-00107,Yes,6,18.8456680558415
TA-00107,Yes,8,17.668857074498
TA-00108,Yes,1,31.2369590981677
TA-00108,Yes,2,21.0462767703633
TA-00108,Yes,5,14.9340930209266
TA-00108,Yes,10,12.8948437317427
TA-00108,Yes,25,11.6735198054784
TA-00108,Yes,50,11.3313265413998
TA-00108,Yes,100,11.1783132932346
TA-00108,Yes,250,11.0865053443354
TA-00114,Yes,1,1.30756775704835
TA-00114,Yes,1,5.63923370965319
TA-00117,Yes,1,24.9912365139687
TA-00117,Yes,6,5.26921985499908
TA-00117,Yes,20,1.62750454866656
TA-00119,Yes,1,21.6555477039667
TA-00119,Yes,2,12.0908286641109
TA-00119,Yes,5,6.3514408283859
TA-00119,Yes,10,4.44016625584928
TA-00119,Yes,25,3.29117586508126
TA-00119,Yes,50,2.97680319157815
TA-00119,Yes,100,2.83491817964312
TA-00119,Yes,250,2.74867434885908
TA-00120,Yes,1,21.4663676880533
TA-00120,Yes,2,11.9016486481975
TA-00120,Yes,5,6.16504287153008
TA-00120,Yes,10,4.2509862399359
TA-00120,Yes,25,3.10199584916789
TA-00120,Yes,50,2.78762317566477
TA-00120,Yes,100,2.64573816372974
TA-00120,Yes,250,2.56227639200325
TA-00121,Yes,1,21.4663676880533
TA-00121,Yes,2,11.9016486481975
TA-00121,Yes,5,6.16504287153008
TA-00121,Yes,10,4.2509862399359
TA-00121,Yes,25,3.10199584916789
TA-00121,Yes,50,2.78762317566477
TA-00121,Yes,100,2.64573816372974
TA-00121,Yes,250,2.56227639200325
TA-00123,Yes,1,28.5244515170568
TA-00123,Yes,2,16.6645337547225
TA-00123,Yes,5,9.54802668551048
TA-00123,Yes,10,7.17771236847816
TA-00123,Yes,25,5.75329813101272
TA-00123,Yes,50,5.34433544955292
TA-00123,Yes,100,5.15793749269709
TA-00123,Yes,250,5.04665513039511
TA-00125,Yes,1,28.5717465210351
TA-00125,Yes,2,16.7118287587009
TA-00125,Yes,5,9.59532168948882
TA-00125,Yes,10,7.22222531339895
TA-00125,Yes,25,5.80059313499107
TA-00125,Yes,50,5.39163045353127
TA-00125,Yes,100,5.20523249667544
TA-00125,Yes,250,5.09395013437345
TA-00128,Yes,5,25.3362118371049
TA-00128,Yes,10,15.7937492697095
TA-00128,Yes,15,12.6138557669302
TA-00128,Yes,20,11.0225179860118
TA-00130,Yes,1,14.1551164848127
TA-00130,Yes,2,9.16688459462618
TA-00130,Yes,3,7.45870033329067
TA-00130,Yes,5,6.14556845812723
TA-00130,Yes,10,5.1301169021216
TA-00130,Yes,20,4.62656421270511
TA-00132,Yes,1,28.2351173750716
TA-00132,Yes,2,16.3751996127374
TA-00132,Yes,5,9.25869254352531
TA-00132,Yes,10,6.88837822649299
TA-00132,Yes,25,5.46396398902756
TA-00132,Yes,50,5.05778336662531
TA-00132,Yes,100,4.86860335071193
TA-00132,Yes,250,4.75732098840994
TA-00140,Yes,1,3.47479176287954
TA-00140,Yes,1,1.64697896206941
TA-00140,Yes,1,2.35640402174457
TA-00141,Yes,10,22.2147415745341
TA-00141,Yes,15,18.008268279519
TA-00141,Yes,20,15.9050316320115
TA-00141,Yes,25,14.6419768198839
TA-00141,Yes,30,13.8017949845039
TA-00144,Yes,1,259.85544421137
TA-00144,Yes,2,141.612370147393
TA-00144,Yes,3,102.198939479087
TA-00145,Yes,1,21.9921768499302
TA-00145,Yes,2,12.4274578100744
TA-00145,Yes,5,6.68806997434941
TA-00145,Yes,10,4.77679540181279
TA-00145,Yes,25,3.62780501104477
TA-00145,Yes,50,3.31343233754166
TA-00145,Yes,100,3.17154732560663
TA-00145,Yes,250,3.08530349482259
TA-00147,Yes,1,22.067292444484
TA-00147,Yes,2,12.5025734046282
TA-00147,Yes,5,6.76318556890326
TA-00147,Yes,10,4.84912893730908
TA-00147,Yes,25,3.70292060559862
TA-00147,Yes,50,3.38576587303795
TA-00147,Yes,100,3.24666292016047
TA-00147,Yes,250,3.16041908937643
TA-00148,Yes,1,21.8280353655347
TA-00148,Yes,2,12.263316325679
TA-00148,Yes,5,6.52392848995398
TA-00148,Yes,10,4.61265391741736
TA-00148,Yes,25,3.46366352664934
TA-00148,Yes,50,3.14929085314623
TA-00148,Yes,100,3.0074058412112
TA-00148,Yes,250,2.92394406948471
TA-00149,Yes,1,21.7612659481535
TA-00149,Yes,2,12.1965469082978
TA-00149,Yes,5,6.45715907257279
TA-00149,Yes,10,4.54588450003617
TA-00149,Yes,25,3.39689410926815
TA-00149,Yes,50,3.08252143576504
TA-00149,Yes,100,2.94063642383
TA-00149,Yes,250,2.85717465210351
TA-00150,Yes,1,21.8280353655347
TA-00150,Yes,2,12.263316325679
TA-00150,Yes,5,6.52392848995398
TA-00150,Yes,10,4.61265391741736
TA-00150,Yes,25,3.46366352664934
TA-00150,Yes,50,3.14929085314623
TA-00150,Yes,100,3.0074058412112
TA-00150,Yes,250,2.92394406948471
TA-00153,Yes,1,21.4747138652259
TA-00153,Yes,2,11.9099948253702
TA-00153,Yes,5,6.17338904870273
TA-00153,Yes,10,4.25933241710855
TA-00153,Yes,25,3.11034202634053
TA-00153,Yes,50,2.79596935283742
TA-00153,Yes,100,2.65408434090239
TA-00153,Yes,250,2.5706225691759
TA-00154,Yes,5,18.4645259649572
TA-00154,Yes,10,12.9004078498578
TA-00154,Yes,15,11.0475565175298
TA-00154,Yes,20,10.1183487923082
TA-00156,Yes,1,12.2521880894488
TA-00156,Yes,2,8.5464854247926
TA-00156,Yes,3,7.59780328616816
TA-00156,Yes,4,6.40986406859445
TA-00156,Yes,5,5.69765694986173
TA-00157,Yes,1,25.7006615736439
TA-00157,Yes,2,15.5099792458394
TA-00157,Yes,5,9.3977954964028
TA-00157,Yes,10,7.35854620721889
TA-00157,Yes,25,6.13444022189703
TA-00157,Yes,50,5.79502901687597
TA-00157,Yes,100,5.64201576871074
TA-00157,Yes,250,5.5502078198116
TA-00161,Yes,1,21.6277271133912
TA-00161,Yes,2,12.0630080735354
TA-00161,Yes,5,6.32362023781041
TA-00161,Yes,10,4.40956360621623
TA-00161,Yes,25,3.26335527450577
TA-00161,Yes,50,2.9462005419451
TA-00161,Yes,100,2.80431553001007
TA-00161,Yes,250,2.72085375828358
TA-00162,Yes,3,50.4943718945266
TA-00162,Yes,5,32.3581288983602
TA-00162,Yes,10,19.0598866032728
TA-00164,No,1,0.93477184333669
TA-00165,Yes,1,1.99195428520557
TA-00166,No,1,9.45621873661134
TA-00168,No,40,3.04079054990179
TA-00173,Yes,1,24.6907741357534
TA-00173,Yes,2,14.5000918079489
TA-00173,Yes,5,8.38512599945472
TA-00173,Yes,10,6.3458767102708
TA-00173,Yes,25,5.1245527840065
TA-00173,Yes,50,4.78235951992789
TA-00173,Yes,100,4.62934627176266
TA-00173,Yes,250,4.53753832286352
TA-00175,Yes,1,30.7028037591182
TA-00175,Yes,2,18.8428859967839
TA-00175,Yes,5,11.7291609866294
TA-00175,Yes,10,9.35606461053955
TA-00175,Yes,25,7.93165037307412
TA-00175,Yes,50,7.52546975067187
TA-00175,Yes,100,7.33907179381604
TA-00175,Yes,250,7.2250073724565
TA-00178,Yes,1,6.24572258419902
TA-00178,Yes,1,6.66303144283147
TA-00180,No,1,11.7347251047445
TA-00181,Yes,3,18.848450114899
TA-00181,Yes,5,15.1371833321278
TA-00181,Yes,10,12.3551242745781
TA-00181,Yes,15,11.4259165493565
TA-00183,Yes,10,22.6153580788213
TA-00183,Yes,15,19.1489124931144
TA-00183,Yes,20,17.415689700261
TA-00183,Yes,25,16.0357884077163
TA-00186,Yes,1,22.3260239368361
TA-00186,Yes,2,12.7613048969804
TA-00186,Yes,5,7.02191706125538
TA-00186,Yes,10,5.1078604296612
TA-00186,Yes,25,3.96165209795074
TA-00186,Yes,50,3.64449736539007
TA-00186,Yes,100,3.50261235345504
TA-00186,Yes,250,3.41915058172855
TA-00190,Yes,1,21.2855338493126
TA-00190,Yes,2,11.7208148094568
TA-00190,Yes,5,5.9814269737318
TA-00190,Yes,10,4.06737034213762
TA-00190,Yes,25,2.92116201042716
TA-00190,Yes,50,2.60400727786649
TA-00190,Yes,100,2.46212226593146
TA-00190,Yes,250,2.37866049420497
TA-00198,Yes,1,27.3086917089076
TA-00198,Yes,2,17.1180093811031
TA-00198,Yes,5,11.003043572609
TA-00198,Yes,10,8.96379428342505
TA-00198,Yes,25,7.74247035716074
TA-00198,Yes,50,7.40027709308213
TA-00198,Yes,100,7.2472638449169
TA-00198,Yes,250,7.15545589601776
TA-00199,Yes,1,22.6598710237421
TA-00199,Yes,2,13.0951519838863
TA-00199,Yes,5,7.35576414816134
TA-00199,Yes,10,5.44170751656716
TA-00199,Yes,25,4.2954991848567
TA-00199,Yes,50,3.97834445229603
TA-00199,Yes,100,3.836459440361
TA-00199,Yes,250,3.75299766863451
TA-00199,Yes,1,1.7137483794506
TA-00199,Yes,1,4.2732427123963
TA-00201,Yes,1,8.00676596762796
TA-00204,Yes,1,23.0048463468782
TA-00204,Yes,2,26.0289445424347
TA-00204,Yes,4,20.245043761789
TA-00204,Yes,6,17.3517023419373
TA-00204,Yes,8,14.536258575697
TA-00205,Yes,1,27.5201281972814
TA-00205,Yes,2,17.3294458694769
TA-00205,Yes,5,11.2144800609827
TA-00205,Yes,10,9.17523077179882
TA-00205,Yes,25,7.95390684553452
TA-00205,Yes,50,7.61171358145591
TA-00205,Yes,100,7.45870033329067
TA-00205,Yes,250,7.36689238439154
TA-00206,Yes,1,17.7940497320877
TA-00206,Yes,1,20.1421075766596
TA-00206,Yes,2,13.8351796931945
TA-00206,Yes,3,11.8710459985645
TA-00206,Yes,4,10.7331838440266
TA-00207,Yes,1,2.19504459640669
TA-00207,Yes,1,2.38700667137762
TA-00211,No,1,6.88559616743544
TA-00213,Yes,1,3.26057321544822
TA-00213,Yes,1,3.54434323931828
TA-00214,No,1,11.4509550808745
TA-00215,No,1,8.1263945071026
TA-00216,Yes,1,1.65254308018451
TA-00218,No,1,9.3477184333669
TA-00219,No,1,7.08034030146392
TA-00222,Yes,1,21.3077903217729
TA-00222,Yes,2,11.7430712819172
TA-00222,Yes,5,6.00368344619219
TA-00222,Yes,10,4.09240887365557
TA-00222,Yes,25,2.94341848288755
TA-00222,Yes,50,2.62904580938444
TA-00222,Yes,100,2.48716079744941
TA-00222,Yes,250,2.40091696666537
TA-00228,Yes,1,11.8515715851616
TA-00228,Yes,1,11.5038142029679
TA-00229,No,5,9.04447399609399
TA-00230,Yes,1,13.4762940747706
TA-00239,Yes,1,3.51095853062769
TA-00239,Yes,1,3.16320114843398
TA-00242,Yes,1,29.2032739270989
TA-00242,Yes,6,6.78544204136365
TA-00242,Yes,20,2.65130228184484
TA-00243,No,1,1.41328600123523
TA-00248,No,1,3.68622825125332
TA-00249,Yes,1,26.0289445424347
TA-00249,Yes,2,15.8382622146303
TA-00249,Yes,5,9.72329640613611
TA-00249,Yes,10,7.6840471169522
TA-00249,Yes,25,6.46272319068789
TA-00249,Yes,50,6.12052992660928
TA-00249,Yes,100,5.96751667844405
TA-00249,Yes,250,5.87570872954491
TA-00252,Yes,2,100.735576414816
TA-00252,Yes,3,69.7490026318279
TA-00252,Yes,4,54.2529336812762
TA-00253,Yes,4,71.8021622162995
TA-00253,Yes,6,56.7317483015529
TA-00253,Yes,8,49.1979323737084
TA-00253,Yes,10,44.6770864051902
TA-00254,No,1,8.0596250897214
TA-00264,Yes,1,21.4635856289957
TA-00264,Yes,2,11.89886658914
TA-00264,Yes,5,6.16226081247253
TA-00264,Yes,10,4.24820418087835
TA-00264,Yes,25,3.09921379011034
TA-00264,Yes,50,2.78484111660722
TA-00264,Yes,100,2.64295610467219
TA-00264,Yes,250,2.5594943329457
TA-00268,Yes,1,1.59968395809106
TA-00269,Yes,1,1.99195428520557
TA-00270,Yes,1,28.4159512138124
TA-00270,Yes,2,16.5560334514781
TA-00270,Yes,5,9.43952638226604
TA-00270,Yes,10,7.06643000617617
TA-00270,Yes,25,5.64479782776829
TA-00270,Yes,50,5.23583514630849
TA-00270,Yes,100,5.04943718945266
TA-00270,Yes,250,4.93815482715067
TA-00271,Yes,1,136.262470579725
TA-00271,Yes,3,48.1574422861848
TA-00271,Yes,5,30.5414443337803
TA-00271,Yes,7,22.9825898744179
TA-00271,Yes,9,18.7872448156329
TA-00272,No,3,5.9758628556167
TA-00274,Yes,1,22.067292444484
TA-00274,Yes,2,12.5025734046282
TA-00274,Yes,5,6.76596762796081
TA-00274,Yes,10,4.85191099636663
TA-00274,Yes,25,3.70292060559862
TA-00274,Yes,50,3.3885479320955
TA-00275,Yes,5,20.0113508009548
TA-00275,Yes,7,17.4101255821459
TA-00275,Yes,10,14.8617594854304
TA-00275,Yes,12,13.8713464609427
TA-00277,Yes,1,124.046449258025
TA-00277,Yes,3,54.5255754689161
TA-00277,Yes,5,36.1333830394552
TA-00277,Yes,10,24.7742359074798
TA-00278,Yes,30,2.34249372645683
TA-00278,Yes,60,1.89180015913378
TA-00278,Yes,90,1.7415689700261
TA-00278,Yes,120,1.66645337547225
TA-00280,Yes,1,29.3813257067821
TA-00280,Yes,2,24.1844393872793
TA-00280,Yes,3,21.9643562593547
TA-00280,Yes,5,18.650923921813
TA-00280,Yes,10,17.304407337959
TA-00282,No,1,10.1461693828837
TA-00283,No,1,1.58299160374576
TA-00285,No,20,1.59133778091841
TA-00293,Yes,1,27.8595394023024
TA-00293,Yes,2,15.9996216399682
TA-00293,Yes,5,8.88311457075611
TA-00293,Yes,10,6.51001819466624
TA-00293,Yes,25,5.08838601625835
TA-00293,Yes,50,4.67942333479855
TA-00293,Yes,100,4.49302537794272
TA-00293,Yes,250,4.38174301564074
TA-00294,Yes,1,27.9040523472232
TA-00294,Yes,2,16.044134584889
TA-00294,Yes,5,8.9276275156769
TA-00294,Yes,10,6.55453113958703
TA-00294,Yes,25,5.13289896117915
TA-00294,Yes,50,4.72393627971935
TA-00294,Yes,100,4.53753832286352
TA-00294,Yes,250,4.42347390150398
TA-00295,Yes,1,35.874651547103
TA-00295,Yes,6,7.53103386878697
TA-00295,Yes,20,2.30354489965113
TA-00296,Yes,1,21.5498294597798
TA-00296,Yes,2,11.985110419924
TA-00296,Yes,5,6.24572258419902
TA-00296,Yes,10,4.33444801166239
TA-00296,Yes,25,3.18545762089438
TA-00296,Yes,50,2.87108494739126
TA-00296,Yes,100,2.72919993545623
TA-00296,Yes,250,2.64295610467219
TA-00297,Yes,1,21.2688414949673
TA-00297,Yes,2,11.7041224551115
TA-00297,Yes,5,5.9647346193865
TA-00297,Yes,10,4.05346004684987
TA-00297,Yes,25,2.90446965608186
TA-00297,Yes,50,2.59009698257875
TA-00297,Yes,100,2.44821197064371
TA-00297,Yes,250,2.36196813985967
TA-00300,Yes,1,66.2909032232936
TA-00300,Yes,5,20.5176855494288
TA-00300,Yes,10,14.7949900680492
TA-00304,No,10,7.97894537705246
TA-00306,No,1,5.44170751656716
TA-00308,Yes,1,22.0283436176783
TA-00308,Yes,2,12.4636245778225
TA-00308,Yes,5,6.72701880115511
TA-00308,Yes,10,4.81296216956093
TA-00308,Yes,25,3.66397177879292
TA-00308,Yes,50,3.34959910528981
TA-00308,Yes,100,3.20771409335477
TA-00308,Yes,250,3.12425232162828
TA-00309,Yes,1,0.868002425955498
TA-00312,Yes,1,21.2799697311975
TA-00312,Yes,2,11.7152506913417
TA-00312,Yes,5,5.9758628556167
TA-00312,Yes,10,4.06180622402252
TA-00312,Yes,25,2.91559789231206
TA-00312,Yes,50,2.59844315975139
TA-00312,Yes,100,2.45655814781636
TA-00312,Yes,250,2.37309637608987
TA-00314,Yes,1,28.2685020837622
TA-00314,Yes,2,16.408584321428
TA-00314,Yes,5,9.29207725221591
TA-00314,Yes,10,6.91898087612604
TA-00314,Yes,25,5.49734869771815
TA-00314,Yes,50,5.08838601625835
TA-00314,Yes,100,4.90198805940252
TA-00314,Yes,250,4.78792363804299
TA-00315,Yes,1,28.2879764971651
TA-00315,Yes,2,16.4280587348308
TA-00315,Yes,5,9.31155166561876
TA-00315,Yes,10,6.93845528952889
TA-00315,Yes,25,5.516823111121
TA-00315,Yes,50,5.1078604296612
TA-00315,Yes,100,4.92146247280537
TA-00315,Yes,250,4.80739805144584
TA-00316,Yes,1,2.82378994341292
TA-00316,Yes,1,2.47603256121921
TA-00320,Yes,1,28.6440800565314
TA-00320,Yes,2,18.453397728727
TA-00320,Yes,5,12.3384319202328
TA-00320,Yes,10,10.2991826310489
TA-00320,Yes,25,9.07785870478459
TA-00320,Yes,50,8.73566544070597
TA-00321,Yes,1,27.892924110993
TA-00321,Yes,2,17.7022417831886
TA-00321,Yes,5,11.5872759746944
TA-00321,Yes,10,9.55080874456803
TA-00321,Yes,25,8.32670275924617
TA-00321,Yes,50,7.98729155422511
TA-00322,Yes,1,17.4546385270667
TA-00322,Yes,2,9.55915492174068
TA-00322,Yes,5,4.82130834673358
TA-00322,Yes,10,3.24109880204537
TA-00322,Yes,25,2.29519872247848
TA-00322,Yes,50,2.04481340729901
TA-00322,Yes,100,1.93909516311212
TA-00322,Yes,250,1.87232574573093
TA-00323,Yes,1,13.2398190548789
TA-00323,Yes,3,6.54340290335683
TA-00323,Yes,5,5.17741190609994
TA-00323,Yes,10,4.17308858632451
TA-00323,Yes,20,3.66675383785047
TA-00324,No,1,5.91465755635061
TA-00325,Yes,1,9.3811031420575
TA-00325,Yes,10,8.35452334982167
TA-00325,Yes,20,7.17771236847816
TA-00325,Yes,30,6.15113257624233
TA-00325,Yes,40,5.71434930420703
TA-00327,Yes,6,21.282751790255
TA-00327,Yes,10,15.6880310255226
TA-00327,Yes,25,10.9835691592061
TA-00327,Yes,50,9.3977954964028
TA-00330,Yes,2,8.64663955086438
TA-00330,Yes,4,7.03026323842802
TA-00330,Yes,6,6.05097845017054
TA-00330,Yes,8,4.81852628767603
TA-00331,No,1,14.1384241304674
TA-00332,No,1,1.37990129254464
TA-00334,Yes,1,21.4635856289957
TA-00334,Yes,2,11.89886658914
TA-00334,Yes,5,6.16226081247253
TA-00334,Yes,10,4.24820418087835
TA-00334,Yes,25,3.09921379011034
