tube_assembly_id,supplier,quote_date,annual_usage,min_order_quantity,bracket_pricing,quantity,cost
TA-00147,S-0066,2013-06-01,0,0,Yes,1,22.067292444484
TA-00148,S-0066,2013-08-11,0,0,Yes,1,21.8280353655347
TA-00149,S-0066,2013-08-11,0,0,Yes,1,21.7612659481535
TA-00150,S-0066,2013-08-11,0,0,Yes,1,21.8280353655347
TA-00153,S-0066,2013-07-01,0,0,Yes,1,21.4747138652259
TA-00161,S-0066,2013-07-01,0,0,Yes,1,21.6277271133912
TA-00175,S-0066,2013-05-01,0,0,Yes,1,30.7028037591182
TA-00190,S-0066,2013-07-14,0,0,Yes,1,21.2855338493126
TA-00205,S-0066,2013-10-01,0,0,Yes,1,27.5201281972814
TA-00222,S-0066,2013-07-01,0,0,Yes,1,21.3077903217729
TA-00249,S-0066,2013-10-01,0,0,Yes,1,26.0289445424347
TA-00264,S-0066,2013-06-01,0,0,Yes,1,21.4635856289957
TA-00270,S-0066,2013-09-01,0,0,Yes,1,28.4159512138124
TA-00293,S-0066,2013-07-01,0,0,Yes,1,27.8595394023024
TA-00294,S-0066,2013-07-01,0,0,Yes,1,27.9040523472232
TA-00296,S-0066,2013-07-01,0,0,Yes,1,21.5498294597798
TA-00297,S-0066,2013-07-01,0,0,Yes,1,21.2688414949673
TA-00312,S-0066,2013-07-01,0,0,Yes,1,21.2799697311975
TA-00314,S-0066,2013-07-01,0,0,Yes,1,28.2685020837622
TA-00315,S-0066,2013-07-01,0,0,Yes,1,28.2879764971651
TA-00323,S-0054,2001-04-10,0,0,Yes,1,13.2398190548789
TA-00334,S-0066,2013-05-01,0,0,Yes,1,21.4635856289957
TA-00335,S-0066,2013-05-01,0,0,Yes,1,21.9615742002971
TA-00338,S-0066,2013-07-01,0,0,Yes,1,21.8280353655347
TA-00370,S-0066,2013-08-11,0,0,Yes,1,22.1396259799803
TA-00386,S-0066,2013-07-28,0,0,Yes,1,21.4162906250174
TA-00393,S-0066,1995-04-12,0,0,Yes,1,161.946439799024
TA-00440,S-0066,2013-10-01,0,0,Yes,1,29.4981721871992
TA-00441,S-0066,2013-10-01,0,0,Yes,1,23.408244910223
TA-00458,S-0066,2013-10-01,0,0,Yes,1,21.7640480072111
TA-00461,S-0066,2013-10-01,0,0,Yes,1,21.9114971372612
TA-00462,S-0066,2013-10-01,0,0,Yes,1,17.8079600273755
TA-00463,S-0066,2013-10-01,0,0,Yes,1,18.9402580637982
TA-00471,S-0066,2013-07-01,0,0,Yes,1,21.5887782865855
TA-00472,S-0066,2013-07-01,0,0,Yes,1,21.4663676880533
TA-00488,S-0066,2013-09-01,0,0,Yes,1,28.8110035999844
TA-00489,S-0066,2013-09-01,0,0,Yes,1,28.479938572136
TA-00492,S-0066,2013-09-01,0,0,Yes,1,29.6344930810191
TA-00493,S-0066,2013-09-01,0,0,Yes,1,29.3145562894009
TA-00494,S-0066,2013-09-01,0,0,Yes,1,29.5844160179832
TA-00495,S-0066,2013-09-01,0,0,Yes,1,29.4926080690841
TA-00497,S-0066,2013-09-01,0,0,Yes,1,25.483660967155
TA-00500,S-0066,2013-09-01,0,0,Yes,1,27.9791679417771
TA-00511,S-0066,2013-05-01,0,0,Yes,1,24.0036055485386
TA-00513,S-0066,2013-09-01,0,0,Yes,1,27.6898337997919
TA-00544,S-0066,2013-07-28,0,0,Yes,1,21.6944965307724
TA-00546,S-0066,2013-07-01,0,0,Yes,1,28.9111577260562
TA-00569,S-0066,2013-10-01,0,0,Yes,1,28.591220934438
TA-00586,S-0066,2013-08-01,0,0,Yes,1,27.6035899690079
TA-00610,S-0066,2013-07-01,0,0,Yes,1,21.449675333708
TA-00655,S-0066,2013-07-28,0,0,Yes,1,22.2592545194549
TA-00656,S-0066,2013-05-01,0,0,Yes,1,22.1340618618652
TA-00662,S-0066,2013-09-01,0,0,Yes,1,28.1655658986329
TA-00678,S-0066,2013-09-01,0,0,Yes,1,28.9389783166317
TA-00679,S-0066,2013-09-01,0,0,Yes,1,29.5120824824869
TA-00681,S-0066,2013-09-01,0,0,Yes,1,29.3284665846887
TA-00688,S-0066,2013-07-28,0,0,Yes,1,20.3591081831485
TA-00695,S-0066,2013-09-01,0,0,Yes,1,21.9727024365273
TA-00696,S-0066,2013-09-01,0,0,Yes,1,21.5637397550675
TA-00697,S-0066,2013-09-01,0,0,Yes,1,25.5810330341692
TA-00717,S-0066,2013-03-17,0,0,Yes,1,28.0264629457554
TA-00719,S-0066,2013-10-01,0,0,Yes,1,28.4910668083662
TA-00731,S-0066,2013-06-01,0,0,Yes,1,27.6453208548711
TA-00736,S-0066,2013-09-01,0,0,Yes,1,28.0681938316187
TA-00737,S-0066,2013-09-01,0,0,Yes,1,28.7247597692004
TA-00740,S-0066,2013-09-01,0,0,Yes,1,22.3733189408145
TA-00741,S-0066,2013-09-01,0,0,Yes,1,22.4484345353683
TA-00742,S-0066,2013-09-01,0,0,Yes,1,22.7155122048931
TA-00747,S-0066,2013-10-01,0,0,Yes,1,31.0700355547148
TA-00759,S-0066,2013-06-01,0,0,Yes,1,22.1674465705558
TA-00761,S-0066,2013-06-01,0,0,Yes,1,28.393694741352
TA-00763,S-0066,2013-06-01,0,0,Yes,1,29.8459295693929
TA-00764,S-0066,2013-09-01,0,0,Yes,1,21.7779583024988
TA-00768,S-0066,2013-06-01,0,0,Yes,1,28.5411438714021
TA-00770,S-0066,2013-10-01,0,0,Yes,1,29.2783895216528
TA-00772,S-0054,2002-05-07,0,0,Yes,1,13.4540376023102
TA-00775,S-0066,2013-05-01,0,0,Yes,1,27.6536670320438
TA-00776,S-0066,2013-07-01,0,0,Yes,1,21.2688414949673
TA-00779,S-0066,2013-10-01,0,0,Yes,1,30.104661061745
TA-00790,S-0066,2013-10-01,0,0,Yes,1,29.8153269197599
TA-00808,S-0066,2013-10-01,0,0,Yes,1,25.8230721721761
TA-00832,S-0066,2013-09-01,0,0,Yes,1,22.8184483900224
TA-00834,S-0066,2013-10-01,0,0,Yes,1,28.4743744540209
TA-00847,S-0066,2013-10-01,0,0,Yes,1,22.2954212872031
TA-00850,S-0066,2013-07-01,0,0,Yes,1,21.672240058312
TA-00859,S-0066,2013-09-01,0,0,Yes,1,28.4131691547548
TA-00864,S-0066,2013-10-01,0,0,Yes,1,29.4564413013359
TA-00875,S-0066,2013-06-30,0,0,Yes,1,20.6289679117308
TA-00885,S-0066,2013-10-01,0,0,Yes,1,29.4926080690841
TA-00886,S-0066,2013-10-01,0,0,Yes,1,29.3701974705519
TA-00888,S-0066,2013-10-01,0,0,Yes,1,22.1980492201888
TA-00890,S-0066,2013-10-01,0,0,Yes,1,21.8975868419735
TA-00891,S-0066,2013-10-01,0,0,Yes,1,22.3176777596635
TA-00902,S-0066,2013-06-23,0,0,Yes,1,22.3872292361022
TA-00914,S-0066,2013-04-14,0,0,Yes,1,21.3912520934994
TA-00922,S-0066,2013-06-01,0,0,Yes,1,26.379483983686
TA-00928,S-0066,2013-10-01,0,0,Yes,1,27.9986423551799
TA-00930,S-0066,2013-07-01,0,0,Yes,1,21.6666759401969
TA-00975,S-0066,2013-05-01,0,0,Yes,1,21.9671383184122
TA-00981,S-0066,2013-05-01,0,0,Yes,1,27.837282929842
TA-00982,S-0066,2013-05-01,0,0,Yes,1,27.8428470479571
TA-00983,S-0066,2013-10-01,0,0,Yes,1,28.2490276703594
TA-00984,S-0066,2013-10-01,0,0,Yes,1,22.7711533860441
TA-00985,S-0066,2013-07-01,0,0,Yes,1,21.8642021332829
TA-00994,S-0066,2013-05-01,0,0,Yes,1,21.6444194677365
TA-00995,S-0066,2013-03-17,0,0,Yes,1,21.7223171213478
TA-00996,S-0066,2013-08-04,0,0,Yes,1,21.6221629952761
TA-00998,S-0066,2013-10-01,0,0,Yes,1,22.092330976002
TA-01007,S-0066,2013-06-01,0,0,Yes,1,21.4580215108806
TA-01033,S-0066,2013-05-01,0,0,Yes,1,28.7776188912938
TA-01034,S-0066,2013-06-01,0,0,Yes,1,27.8817958747628
TA-01040,S-0066,2013-10-01,0,0,Yes,1,28.70250329674
TA-01042,S-0066,2013-08-01,0,0,Yes,1,21.42463680219
TA-01044,S-0066,2013-08-01,0,0,Yes,1,21.394034152557
TA-01045,S-0066,2013-09-01,0,0,Yes,1,29.7735960338966
TA-01047,S-0066,2013-09-01,0,0,Yes,1,23.580732571791
TA-01057,S-0066,2013-10-01,0,0,Yes,1,29.9349554592345
TA-01061,S-0066,2013-10-01,0,0,Yes,1,22.2314339288794
TA-01062,S-0066,2013-10-01,0,0,Yes,1,22.1368439209228
TA-01066,S-0066,2013-05-01,0,0,Yes,1,21.4635856289957
TA-01068,S-0066,2013-08-04,0,0,Yes,1,21.4107265069023
TA-01071,S-0066,2013-10-01,0,0,Yes,1,28.5940029934955
TA-01072,S-0066,2013-10-01,0,0,Yes,1,27.8706676385326
TA-01074,S-0066,2013-10-01,0,0,Yes,1,27.9096164653383
TA-01102,S-0066,2013-09-01,0,0,Yes,1,25.5281739120758
TA-01118,S-0066,2013-09-01,0,0,Yes,1,22.3065495234333
TA-01125,S-0066,2013-10-01,0,0,Yes,1,22.740550736411
TA-01134,S-0066,2013-10-01,0,0,Yes,1,28.4215153319275
TA-01140,S-0066,2013-08-11,0,0,Yes,1,21.7362274166356
TA-01144,S-0066,2013-07-21,0,0,Yes,1,21.5553935778949
TA-01148,S-0066,2013-07-01,0,0,Yes,1,21.4162906250174
TA-01152,S-0066,2013-10-01,0,0,Yes,1,22.3343701140088
TA-01169,S-0066,2013-10-01,0,0,Yes,1,25.1025188762707
TA-01171,S-0066,2013-09-01,0,0,Yes,1,22.5207680708646
TA-01172,S-0066,2013-07-01,0,0,Yes,1,21.4635856289957
TA-01173,S-0066,2013-08-01,0,0,Yes,1,21.8920227238584
TA-01174,S-0066,2013-04-14,0,0,Yes,1,21.2577132587371
TA-01181,S-0066,2013-06-01,0,0,Yes,1,22.6459607284543
TA-01182,S-0066,2013-06-01,0,0,Yes,1,22.5875374882458
TA-01186,S-0066,2013-06-01,0,0,Yes,1,22.7127301458355
TA-01187,S-0066,2013-06-01,0,0,Yes,1,27.7371288037702
TA-01188,S-0066,2013-06-01,0,0,Yes,1,21.616598877161
TA-01189,S-0066,2013-06-01,0,0,Yes,1,27.6063720280654
TA-01191,S-0066,2013-08-01,0,0,Yes,1,21.7696121253262
TA-01195,S-0066,2013-08-01,0,0,Yes,1,21.9420997868943
TA-01205,S-0066,2013-08-11,0,0,Yes,1,21.1659053098379
TA-01229,S-0066,1997-11-21,0,0,Yes,1,237.298509372757
TA-01230,S-0066,2013-07-01,0,0,Yes,1,28.4298615091001
TA-01242,S-0066,2013-10-01,0,0,Yes,1,29.0752992104516
TA-01247,S-0066,2013-08-01,0,0,Yes,1,21.394034152557
TA-01267,S-0066,2013-07-21,0,0,Yes,1,21.2410209043918
TA-01268,S-0066,2013-06-30,0,0,Yes,1,21.3077903217729
TA-01273,S-0066,2013-07-21,0,0,Yes,1,21.0351485341331
TA-01274,S-0066,2013-07-01,0,0,Yes,1,21.956010082182
TA-01278,S-0066,2013-07-21,0,0,Yes,1,21.0268023569604
TA-01286,S-0066,2013-07-21,0,0,Yes,1,22.0756386216567
TA-01287,S-0066,2013-07-21,0,0,Yes,1,21.2577132587371
TA-01292,S-0066,2013-04-07,0,0,Yes,1,22.907474279864
TA-01302,S-0066,2013-10-01,0,0,Yes,1,29.0558247970488
TA-01303,S-0066,2013-10-01,0,0,Yes,1,29.0558247970488
TA-01307,S-0066,2013-08-01,0,0,Yes,1,21.6277271133912
TA-01312,S-0066,2013-10-01,0,0,Yes,1,28.9974015568402
TA-01316,S-0014,2007-06-07,0,0,Yes,1,39.2159044752202
TA-01325,S-0066,2013-07-07,0,0,Yes,1,20.5872370258676
TA-01343,S-0066,2013-08-11,0,0,Yes,1,22.1284977437501
TA-01349,S-0066,2013-06-01,0,0,Yes,1,21.8530738970527
TA-01350,S-0066,2013-08-11,0,0,Yes,1,22.5235501299222
TA-01352,S-0066,2013-06-01,0,0,Yes,1,22.0033050861604
TA-01356,S-0066,2013-06-01,0,0,Yes,1,21.6305091724487
TA-01357,S-0066,2013-06-01,0,0,Yes,1,21.5553935778949
TA-01358,S-0066,2013-06-01,0,0,Yes,1,21.956010082182
TA-01360,S-0066,2013-09-01,0,0,Yes,1,28.7275418282579
TA-01362,S-0066,2013-09-01,0,0,Yes,1,27.1668066969726
TA-01363,S-0066,2013-09-01,0,0,Yes,1,27.1528964016848
TA-01401,S-0066,2013-08-01,0,0,Yes,1,21.7306632985205
TA-01404,S-0066,2013-08-01,0,0,Yes,1,27.5562949650295
TA-01425,S-0066,2013-09-01,0,0,Yes,1,28.4994129855389
TA-01431,S-0066,2013-05-01,0,0,Yes,1,21.7557018300384
TA-01433,S-0066,2013-05-01,0,0,Yes,1,25.0580059313499
TA-01434,S-0066,2013-05-01,0,0,Yes,1,25.1581600574217
TA-01435,S-0066,2013-05-01,0,0,Yes,1,28.0932323631366
TA-01436,S-0066,2013-05-01,0,0,Yes,1,28.3463997373736
TA-01437,S-0066,2013-05-01,0,0,Yes,1,27.7538211581155
TA-01438,S-0066,2013-05-01,0,0,Yes,1,28.2545917884745
TA-01441,S-0066,2013-08-01,0,0,Yes,1,27.4950896657634
TA-01443,S-0066,2013-08-01,0,0,Yes,1,27.6175002642956
TA-01467,S-0066,2013-07-14,0,0,Yes,1,21.3495212076362
TA-01470,S-0066,2013-08-01,0,0,Yes,1,22.0812027397718
TA-01471,S-0066,2013-08-01,0,0,Yes,1,22.2314339288794
TA-01478,S-0066,2013-06-01,0,0,Yes,1,27.5256923153965
TA-01479,S-0066,2013-09-01,0,0,Yes,1,28.4855026902511
TA-01480,S-0066,2013-05-01,0,0,Yes,1,28.7915291865816
TA-01481,S-0066,2013-07-01,0,0,Yes,1,21.5553935778949
TA-01484,S-0066,2013-07-21,0,0,Yes,1,21.2910979674276
TA-01488,S-0066,2013-07-21,0,0,Yes,1,20.8098017504716
TA-01503,S-0066,2013-07-01,0,0,Yes,1,21.3217006170607
TA-01505,S-0066,2013-07-01,0,0,Yes,1,21.7167530032327
TA-01509,S-0066,2013-07-01,0,0,Yes,1,21.6583297630242
TA-01516,S-0066,2013-07-14,0,0,Yes,1,21.3995982706721
TA-01517,S-0066,2013-07-01,0,0,Yes,1,21.7084068260601
TA-01519,S-0066,2013-08-01,0,0,Yes,1,21.616598877161
TA-01527,S-0066,2013-05-01,0,0,Yes,1,21.4580215108806
TA-01529,S-0066,2013-07-01,0,0,Yes,1,27.9318729377987
TA-01530,S-0066,2013-10-01,0,0,Yes,1,24.2428626274879
TA-01537,S-0066,2013-08-01,0,0,Yes,1,22.0339077357934
TA-01554,S-0066,2013-10-01,0,0,Yes,1,31.1368049720959
TA-01556,S-0066,2013-10-01,0,0,Yes,1,26.5241510546786
TA-01566,S-0066,2013-05-01,0,0,Yes,1,28.0515014772734
TA-01567,S-0066,2013-05-01,0,0,Yes,1,28.0515014772734
TA-01589,S-0066,2013-07-01,0,0,Yes,1,27.5757693784324
TA-01597,S-0066,2013-08-01,0,0,Yes,1,21.5581756369524
TA-01617,S-0066,2013-06-01,0,0,Yes,1,26.6270872398079
TA-01624,S-0066,2013-09-01,0,0,Yes,1,25.1887627070547
TA-01649,S-0066,2013-09-01,0,0,Yes,1,22.0812027397718
TA-01650,S-0066,2013-09-01,0,0,Yes,1,28.8638627220779
TA-01654,S-0066,2013-09-01,0,0,Yes,1,22.1284977437501
TA-01655,S-0066,2013-09-01,0,0,Yes,1,27.948565292144
TA-01665,S-0066,2013-08-01,0,0,Yes,1,20.5928011439827
TA-01667,S-0066,2013-03-24,0,0,Yes,1,21.4274188612476
TA-01679,S-0066,2013-06-01,0,0,Yes,1,21.3801238572692
TA-01680,S-0066,2013-08-11,0,0,Yes,1,21.7529197709809
TA-01681,S-0066,2013-08-11,0,0,Yes,1,21.1325206011473
TA-01682,S-0066,2013-08-11,0,0,Yes,1,21.7529197709809
TA-01704,S-0066,2013-08-01,0,0,Yes,1,21.3411750304635
TA-01706,S-0066,2013-07-01,0,0,Yes,1,21.6778041764271
TA-01718,S-0066,2013-10-01,0,0,Yes,1,26.3294069206501
TA-01719,S-0066,2013-10-01,0,0,Yes,1,30.4663287392265
TA-01721,S-0066,2013-06-01,0,0,Yes,1,22.8351407443677
TA-01723,S-0066,2013-10-01,0,0,Yes,1,23.0994363548349
TA-01728,S-0066,2013-09-01,0,0,Yes,1,28.5105412217691
TA-01729,S-0066,2013-03-24,0,0,Yes,1,22.1730106886709
TA-01736,S-0066,2013-06-01,0,0,Yes,1,22.3538445274116
TA-01738,S-0066,2013-09-01,0,0,Yes,1,21.7779583024988
TA-01746,S-0066,2013-09-01,0,0,Yes,1,21.7640480072111
TA-01758,S-0066,2013-07-28,0,0,Yes,1,21.8558559561102
TA-01763,S-0066,2013-10-01,0,0,Yes,1,22.0756386216567
TA-01767,S-0066,2013-06-16,0,0,Yes,1,23.7253996427836
TA-01769,S-0066,2013-06-16,0,0,Yes,1,23.7448740561865
TA-01771,S-0066,2013-06-16,0,0,Yes,1,24.5433250057032
TA-01773,S-0066,2013-07-01,0,0,Yes,1,21.5637397550675
TA-01774,S-0066,2013-08-01,0,0,Yes,1,21.8502918379951
TA-01777,S-0066,2013-06-23,0,0,Yes,1,29.6984804393428
TA-01783,S-0066,2013-10-01,0,0,Yes,1,28.3575279736038
TA-01784,S-0066,2013-09-01,0,0,Yes,1,27.7927699849212
TA-01787,S-0066,2013-07-01,0,0,Yes,1,21.6833682945422
TA-01788,S-0066,2013-08-01,0,0,Yes,1,21.6917144717148
TA-01816,S-0066,2013-10-01,0,0,Yes,1,22.9909360515905
TA-01828,S-0066,2013-10-01,0,0,Yes,1,23.1689878312737
TA-01831,S-0066,2013-08-01,0,0,Yes,1,28.0375911819856
TA-01837,S-0054,2001-04-10,0,0,Yes,1,23.0521413508566
TA-01860,S-0066,2013-06-01,0,0,Yes,1,21.5470474007222
TA-01867,S-0066,2013-10-01,0,0,Yes,1,22.3927933542173
TA-01874,S-0066,2013-08-11,0,0,Yes,1,21.9087150782037
TA-01875,S-0066,2013-06-01,0,0,Yes,1,22.2063953973615
TA-01879,S-0066,2013-06-01,0,0,Yes,1,22.4985115984042
TA-01886,S-0066,2013-06-01,0,0,Yes,1,21.5136626920316
TA-01887,S-0066,2013-06-01,0,0,Yes,1,21.5220088692043
TA-01888,S-0066,2013-06-01,0,0,Yes,1,21.6305091724487
TA-01906,S-0066,2013-09-01,0,0,Yes,1,25.7785592272553
TA-01907,S-0066,2013-07-14,0,0,Yes,1,21.6889324126573
TA-01908,S-0066,2013-07-14,0,0,Yes,1,22.1284977437501
TA-01911,S-0066,2013-06-01,0,0,Yes,1,27.6536670320438
TA-01920,S-0066,2013-09-01,0,0,Yes,1,22.1479721571529
TA-01927,S-0066,2013-06-01,0,0,Yes,1,21.1659053098379
TA-01928,S-0066,2013-09-01,0,0,Yes,1,22.3983574723324
TA-01953,S-0054,2001-09-20,0,0,Yes,1,19.8026963716386
TA-01956,S-0066,2013-09-01,0,0,Yes,1,29.0196580293006
TA-01957,S-0066,2013-09-01,0,0,Yes,1,28.9306321394591
TA-01958,S-0066,2013-09-01,0,0,Yes,1,28.8499524267901
TA-01960,S-0066,2013-09-01,0,0,Yes,1,29.7819422110693
TA-01962,S-0066,2013-06-16,0,0,Yes,1,22.8796536892885
TA-01974,S-0066,2013-05-01,0,0,Yes,1,27.9708217646044
TA-01991,S-0066,2013-07-01,0,0,Yes,1,27.6675773273315
TA-01997,S-0066,2013-10-01,0,0,Yes,1,30.0351095853063
TA-02007,S-0066,2013-06-01,0,0,Yes,1,22.4734730668863
TA-02009,S-0066,2013-06-01,0,0,Yes,1,22.0422539129661
TA-02010,S-0066,2013-08-11,0,0,Yes,1,22.3983574723324
TA-02011,S-0066,2013-06-01,0,0,Yes,1,22.2230877517068
TA-02015,S-0066,2013-07-07,0,0,Yes,1,21.4413291565353
TA-02022,S-0066,2013-07-01,0,0,Yes,1,21.9059330191461
TA-02024,S-0014,2000-03-01,0,0,Yes,1,52.6810703137606
TA-02037,S-0066,2013-09-01,0,0,Yes,1,44.6325734602694
TA-02041,S-0014,2000-02-01,0,0,Yes,1,53.5212521491406
TA-02056,S-0066,2013-08-01,0,0,Yes,1,21.3717776800966
TA-02057,S-0066,2013-08-01,0,0,Yes,1,27.4867434885908
TA-02063,S-0066,2013-07-01,0,0,Yes,1,21.535919164492
TA-02070,S-0066,2013-10-01,0,0,Yes,1,23.550129922158
TA-02083,S-0066,2013-07-01,0,0,Yes,1,28.0487194182158
TA-02090,S-0066,2013-06-01,0,0,Yes,1,21.42463680219
TA-02095,S-0066,2013-08-04,0,0,Yes,1,21.8057788930743
TA-02096,S-0066,2013-09-01,0,0,Yes,1,22.0227794995632
TA-02116,S-0066,2013-10-01,0,0,Yes,1,28.0181167685828
TA-02119,S-0066,2013-08-04,0,0,Yes,1,21.5331371054345
TA-02150,S-0066,2013-08-11,0,0,Yes,1,27.7037440950796
TA-02153,S-0066,2013-09-01,0,0,Yes,1,29.5343389549473
TA-02154,S-0066,2013-09-01,0,0,Yes,1,28.5717465210351
TA-02172,S-0066,2013-06-01,0,0,Yes,1,22.6988198505478
TA-02174,S-0066,2013-08-01,0,0,Yes,1,21.758483889096
TA-02182,S-0066,2013-09-01,0,0,Yes,1,22.5708451339005
TA-02183,S-0066,2013-09-01,0,0,Yes,1,29.3284665846887
TA-02184,S-0066,2013-07-01,0,0,Yes,1,29.7735960338966
TA-02193,S-0066,2013-05-01,0,0,Yes,1,27.7120902722523
TA-02198,S-0066,2013-10-01,0,0,Yes,1,26.7105490115344
TA-02200,S-0066,2013-06-01,0,0,Yes,1,22.7043839686629
TA-02201,S-0066,2013-06-01,0,0,Yes,1,22.6904736733751
TA-02211,S-0066,2013-08-04,0,0,Yes,1,29.4258386517029
TA-02227,S-0066,2013-06-01,0,0,Yes,1,21.5776500503553
TA-02235,S-0066,2013-09-01,0,0,Yes,1,27.5423846697418
TA-02237,S-0066,2013-06-01,0,0,Yes,1,26.7522798973977
TA-02257,S-0066,2013-08-01,0,0,Yes,1,28.2434635522443
TA-02261,S-0066,2013-05-01,0,0,Yes,1,28.5550541666898
TA-02275,S-0066,2013-06-01,0,0,Yes,1,22.0088692042755
TA-02277,S-0066,2013-08-01,0,0,Yes,1,21.6778041764271
TA-02308,S-0066,2013-07-01,0,0,Yes,1,21.5553935778949
TA-02310,S-0066,2013-07-21,0,0,Yes,1,20.695737329112
TA-02314,S-0066,2013-07-01,0,0,Yes,1,21.5220088692043
TA-02319,S-0066,2013-06-01,0,0,Yes,1,21.5331371054345
TA-02321,S-0066,2013-06-01,0,0,Yes,1,22.067292444484
TA-02334,S-0066,2013-08-11,0,0,Yes,1,21.5804321094128
TA-02337,S-0066,2013-08-11,0,0,Yes,1,27.5256923153965
TA-02338,S-0066,2013-06-01,0,0,Yes,1,27.9318729377987
TA-02344,S-0066,2013-06-01,0,0,Yes,1,28.5161053398842
TA-02345,S-0066,2013-06-01,0,0,Yes,1,28.6301697612437
TA-02347,S-0066,2013-06-01,0,0,Yes,1,28.5327976942295
TA-02359,S-0066,2013-08-11,0,0,Yes,1,22.2008312792464
TA-02366,S-0066,2013-06-23,0,0,Yes,1,28.4882847493087
TA-02375,S-0066,2013-06-01,0,0,Yes,1,25.5532124435938
TA-02376,S-0066,2013-06-01,0,0,Yes,1,29.0446965608186
TA-02379,S-0066,2013-06-01,0,0,Yes,1,25.6005074475721
TA-02381,S-0066,2013-06-01,0,0,Yes,1,28.6106953478408
TA-02383,S-0066,2013-06-01,0,0,Yes,1,28.5161053398842
TA-02384,S-0066,2013-10-01,0,0,Yes,1,25.5754689160541
TA-02417,S-0066,2013-07-01,0,0,Yes,1,27.6814876226193
TA-02418,S-0066,2013-08-01,0,0,Yes,1,21.4858421014561
TA-02419,S-0066,2013-05-01,0,0,Yes,1,21.8836765466857
TA-02432,S-0066,2013-03-24,0,0,Yes,1,29.7680319157815
TA-02455,S-0066,2013-07-01,0,0,Yes,1,27.8345008707845
TA-02469,S-0066,2013-03-24,0,0,Yes,1,21.9281894916065
TA-02474,S-0066,2013-09-01,0,0,Yes,1,22.0033050861604
TA-02475,S-0066,2013-09-01,0,0,Yes,1,30.4496363848812
TA-02476,S-0066,2013-09-01,0,0,Yes,1,30.4023413809028
TA-02496,S-0066,2013-07-01,0,0,Yes,1,22.036689794851
TA-02498,S-0066,2013-08-01,0,0,Yes,1,21.6527656449091
TA-02500,S-0066,2013-09-01,0,0,Yes,1,22.7794995632167
TA-02504,S-0066,2013-10-01,0,0,Yes,1,22.3510624683541
TA-02505,S-0066,2013-10-01,0,0,Yes,1,22.3621907045843
TA-02507,S-0066,2013-10-01,0,0,Yes,1,22.3621907045843
TA-02508,S-0066,2013-10-01,0,0,Yes,1,23.0076284059358
TA-02509,S-0066,2013-10-01,0,0,Yes,1,26.1068421960461
TA-02510,S-0066,2013-10-01,0,0,Yes,1,25.5059174396154
TA-02517,S-0066,2013-05-01,0,0,Yes,1,21.900368901031
TA-02519,S-0066,2013-05-01,0,0,Yes,1,22.1952671611313
TA-02520,S-0066,2013-05-01,0,0,Yes,1,22.7349866182959
TA-02522,S-0066,2013-06-01,0,0,Yes,1,25.5865971522843
