tube_assembly_id,diameter,wall,length,num_bends,bend_radius
TA-00139,57.15,1.65,222,5,114.3
TA-00141,9.52,0.89,205,8,19.05
TA-00142,12.7,0.89,182,8,25.4
TA-00143,38.1,3.05,130,2,76.2
TA-00144,41.28,1.65,83,2,101.6
TA-00145,6.35,0.71,180,4,19.05
TA-00146,6.35,0.71,184,4,19.05
TA-00147,6.35,0.71,189,4,19.05
TA-00148,6.35,0.71,144,6,19.05
TA-00149,6.35,0.71,144,5,19.05
TA-00150,6.35,0.71,144,6,19.05
TA-00151,9.52,0.89,93,5,19.05
TA-00153,9.52,1.24,29,3,31.75
TA-00154,22.22,2.11,0,4,38.1
TA-00155,9.52,0.89,85,10,31.75
TA-00156,6.35,0.89,0,2,19.05
TA-00158,15.88,1.65,217,5,50.8
TA-00159,25.4,2.41,57,2,63.5
TA-00160,15.88,1.65,238,5,50.8
TA-00161,9.52,1.24,58,3,31.75
TA-00162,12.7,0.89,91,3,19.05
TA-00163,9.52,0.89,23,2,19.05
TA-00167,25.4,1.65,189,8,50.8
TA-00168,9.52,0.89,93,5,19.05
TA-00169,6.35,0.89,41,4,19.05
TA-00170,15.88,1.65,35,2,38.1
TA-00171,22.22,2.41,58,3,38.1
TA-00172,22.22,2.41,58,3,38.1
TA-00173,15.88,1.65,55,3,38.1
TA-00174,25.4,2.41,116,3,63.5
TA-00175,12.7,1.24,35,3,38.1
TA-00176,12.7,1.24,56,3,38.1
TA-00177,6.35,0.71,45,2,19.05
TA-00178,15.88,1.65,53,3,50.8
TA-00179,6.35,0.89,23,2,19.05
TA-00180,9.52,1.24,199,1,31.75
TA-00181,9.52,0.89,74,2,19.05
TA-00182,12.7,0.89,55,3,25.4
TA-00184,15.88,1.65,131,6,38.1
TA-00185,15.88,1.65,115,4,38.1
TA-00186,6.35,0.89,109,8,12.7
TA-00187,6.35,0.89,40,2,19.05
TA-00188,6.35,0.71,62,2,19.05
TA-00189,6.35,0.71,176,8,19.05
TA-00190,6.35,0.71,70,7,19.05
TA-00191,6.35,0.71,131,7,19.05
TA-00192,6.35,0.71,96,8,19.05
TA-00193,9.52,0.89,85,10,31.75
TA-00194,15.88,1.65,183,7,31.75
TA-00195,15.88,1.65,191,7,31.75
TA-00196,15.88,1.65,153,6,31.75
TA-00197,15.88,1.65,156,6,31.75
TA-00199,6.35,0.89,160,8,19.05
TA-00201,25.4,1.65,73,4,50.8
TA-00202,25.4,1.65,139,3,50.8
TA-00203,9.52,1.65,52,2,31.75
TA-00206,15.88,1.65,125,6,38.1
TA-00207,15.88,1.65,187,9,38.1
TA-00208,15.88,1.65,148,7,38.1
TA-00209,12.7,1.65,121,6,38.1
TA-00210,15.88,1.65,114,6,38.1
TA-00211,15.88,1.65,91,3,38.1
TA-00212,15.88,1.65,158,6,38.1
TA-00213,15.88,1.65,171,8,38.1
TA-00214,15.88,1.65,104,5,38.1
TA-00215,12.7,1.65,134,7,38.1
TA-00216,15.88,1.24,28,1,38.1
TA-00217,44.45,3.05,118,2,101.6
TA-00218,6.35,0.89,171,8,19.05
TA-00219,6.35,0.89,161,8,19.05
TA-00220,12.7,0.89,68,2,31.8
TA-00222,9.52,0.89,24,1,31.75
TA-00223,15.88,1.65,31,1,38.1
TA-00224,9.52,0.89,24,2,31.75
TA-00226,12.7,0.89,52,2,38.1
TA-00227,6.35,0.71,32,3,19.05
TA-00228,12.7,1.65,202,8,38.1
TA-00230,12.7,1.65,192,8,38.1
TA-00231,25.4,2.41,66,3,50.8
TA-00232,25.4,1.24,205,6,50.8
TA-00234,9.52,1.24,21,2,19.05
TA-00236,25.4,2.41,193,3,63.5
TA-00237,15.88,1.65,11,1,38.1
TA-00238,15.88,1.65,99,5,38.1
TA-00239,15.88,1.65,89,4,38.1
TA-00240,25.4,1.65,83,5,50.8
TA-00241,9.52,0.71,124,8,25.4
TA-00242,9.52,0.71,117,7,25.4
TA-00243,9.52,0.71,121,8,25.4
TA-00244,9.52,0.71,113,7,25.4
TA-00245,6.35,0.89,68,7,12.7
TA-00246,6.35,0.89,52,6,12.7
TA-00247,9.52,0.71,81,6,19.05
TA-00248,9.52,1.24,13,2,19.05
TA-00251,25.4,1.65,144,3,63.5
TA-00252,31.75,3.05,115,4,63.5
TA-00253,31.75,3.05,115,4,63.5
TA-00254,15.88,1.65,90,2,31.75
TA-00255,88.9,1.65,175,3,152.4
TA-00256,6.35,0.71,89,5,19.05
TA-00257,25.4,1.65,183,3,19.05
TA-00258,25.4,1.65,144,4,19.05
TA-00259,6.35,0.71,168,4,19.05
TA-00260,6.35,0.71,61,2,19.05
TA-00261,6.35,0.71,168,4,19.05
TA-00262,6.35,0.71,116,5,19.05
TA-00263,6.35,0.71,111,3,19.05
TA-00264,6.35,0.71,108,5,19.05
TA-00265,6.35,0.71,105,5,19.05
TA-00268,41.28,1.65,38,0,0
TA-00269,34.92,1.65,25,1,63.5
TA-00270,15.88,1.65,95,5,38.1
TA-00271,15.88,1.65,71,4,38.1
TA-00273,12.7,1.65,86,4,38.1
TA-00274,12.7,1.65,96,4,38.1
TA-00275,12.7,0.89,27,2,25.4
TA-00276,6.35,0.89,111,1,19.05
TA-00278,9.52,0.89,59,2,127
TA-00279,9.52,0.89,40,2,31.75
TA-00281,19.05,1.65,187,5,38.1
TA-00282,15.88,1.65,88,4,38.1
TA-00283,9.52,0.89,62,10,19.05
TA-00284,6.35,0.89,62,3,19.05
TA-00285,19.05,1.65,106,4,38.1
TA-00286,22.22,1.65,200,6,50.8
TA-00287,19.05,1.65,57,2,38.1
TA-00288,19.05,1.65,76,4,38.1
TA-00289,19.05,1.65,38,3,38.1
TA-00290,19.05,1.65,50,2,38.1
TA-00292,9.52,0.89,70,2,31.75
TA-00293,9.52,0.89,73,3,19.05
TA-00294,9.52,0.89,82,3,19.05
TA-00295,9.52,0.89,56,1,31.75
TA-00296,9.52,0.89,60,2,31.75
TA-00297,9.52,0.89,16,1,19.05
TA-00298,9.52,0.89,23,1,19.05
TA-00299,9.52,0.89,34,2,19.05
TA-00301,19.05,2.11,57,2,38.1
TA-00302,19.05,2.11,56,2,38.1
TA-00303,15.88,1.65,115,8,38.1
TA-00305,34.92,1.65,123,5,63.5
TA-00308,19.05,1.65,65,2,50.8
TA-00309,25.4,1.65,43,3,50.8
TA-00311,6.35,0.71,55,2,19.05
TA-00312,9.52,0.89,18,1,31.75
TA-00313,9.52,0.89,36,2,31.75
TA-00314,9.52,0.89,102,7,31.75
TA-00315,9.52,0.89,106,7,31.75
TA-00316,6.35,0.89,95,2,19.05
TA-00317,12.7,1.24,56,4,25.4
TA-00318,12.7,1.24,55,4,25.4
TA-00319,9.52,0.89,40,2,31.75
TA-00321,22.22,2.11,75,2,38.1
TA-00324,6.35,0.89,127,9,19.05
TA-00325,6.35,0.89,129,2,19.05
TA-00326,6.35,0.89,149,2,19.05
TA-00327,15.88,1.65,144,8,38.1
TA-00328,25.4,1.65,208,7,50.8
TA-00329,12.7,1.24,91,4,38.1
TA-00330,9.52,0.89,90,3,127
TA-00332,34.92,1.65,101,3,63.5
TA-00333,25.4,3.05,136,3,63.5
TA-00334,12.7,1.24,28,2,25.4
TA-00335,12.7,1.24,79,5,25.4
TA-00336,12.7,1.24,34,1,25.4
TA-00337,9.52,1.24,105,7,19.05
TA-00338,9.52,1.24,58,6,19.05
TA-00339,12.7,1.24,48,3,25.4
TA-00340,15.88,1.24,78,6,31.75
TA-00341,9.52,0.89,30,3,19.05
TA-00342,6.35,0.89,90,6,12.7
TA-00343,27.2,3.2,223,4,70
TA-00344,27.2,3.2,219,4,70
TA-00345,21.7,2.8,10,0,0
TA-00346,21.7,2.8,25,0,0
TA-00347,27.2,3.2,495,5,70
TA-00349,25.4,2.41,101,4,63.5
TA-00351,19.05,1.65,256,4,50.8
TA-00352,9.52,1.65,52,4,31.75
TA-00353,9.52,1.65,51,4,31.75
TA-00354,15.88,1.65,91,3,31.75
TA-00355,19.05,1.65,143,2,50.8
TA-00356,15.88,1.65,169,6,50.8
TA-00357,15.88,1.65,195,5,31.75
TA-00358,15.88,1.65,211,7,31.75
TA-00359,12.7,1.24,102,2,25.4
TA-00360,12.7,1.24,133,2,25.4
TA-00361,12.7,1.24,93,2,25.4
TA-00362,12.7,1.24,185,3,38.1
TA-00363,12.7,1.24,183,3,38.1
TA-00364,9.52,0.89,176,3,31.75
TA-00365,9.52,0.89,175,3,31.75
TA-00366,12.7,1.24,138,2,38.1
TA-00367,9.52,0.89,134,9,19.05
TA-00368,9.52,0.89,45,2,19.05
TA-00369,9.52,1.24,30,2,38.1
TA-00370,6.35,0.89,91,7,12.7
TA-00371,6.35,0.89,164,11,12.7
TA-00372,25.4,3.05,159,0,0
TA-00373,76.2,1.65,41,0,0
TA-00375,12.7,1.24,69,4,38.1
TA-00379,12.7,1.24,148,9,25.4
TA-00380,12.7,1.24,148,9,25.4
TA-00381,25.4,2.41,43,1,63.5
TA-00382,31.75,1.65,43,1,63.5
TA-00383,15.88,1.65,30,2,38.1
TA-00384,25.4,2.41,16,0,0
TA-00385,31.75,1.65,16,0,0
TA-00386,6.35,0.89,26,2,19.05
TA-00387,9.52,1.24,135,4,38.1
TA-00388,4.76,0.71,51,6,12.7
TA-00389,4.76,0.71,80,7,12.7
TA-00390,66.7,7.9,310,2,177.8
TA-00391,66.7,7.9,393,2,177.8
TA-00392,66.7,7.9,174,2,177.8
TA-00393,66.7,7.9,188,2,177.8
TA-00394,25.4,1.65,125,4,50.8
TA-00395,25.4,2.41,100,2,63.5
TA-00398,15.88,0.89,72,2,50.8
TA-00399,15.88,0.89,72,2,50.8
TA-00400,15.88,0.89,47,2,38.1
TA-00401,9.52,0.71,81,4,19.05
TA-00402,9.52,0.71,45,2,19.05
TA-00405,7.94,0.71,149,3,25.4
TA-00406,50.8,2.11,106,2,101.6
TA-00407,25.4,3.05,120,0,0
TA-00408,6.35,0.89,24,5,19.05
TA-00409,9.52,0.89,71,2,31.75
TA-00410,6.35,0.89,20,2,19.05
TA-00411,15.88,1.65,147,10,31.75
TA-00412,15.88,1.65,103,8,31.75
TA-00413,12.7,1.24,52,2,38.1
TA-00414,15.88,1.65,159,10,31.8
TA-00416,19.05,1.65,158,4,50.8
TA-00417,19.05,1.65,81,1,50.8
TA-00418,6.35,2.26,96,14,19.05
TA-00419,6.35,2.26,96,12,19.05
TA-00420,6.35,2.26,96,13,19.05
TA-00421,6.35,2.26,96,14,19.05
TA-00422,6.35,2.26,96,10,19.05
TA-00423,6.35,2.26,96,9,19.05
TA-00424,6.35,2.26,96,11,19.05
TA-00425,6.35,2.26,96,10,19.05
TA-00426,6.35,2.26,96,8,19.05
TA-00427,6.35,2.26,96,9,19.05
TA-00428,6.35,2.26,96,11,19.05
TA-00429,6.35,2.26,96,9,19.05
TA-00431,101.6,1.65,101,1,152.4
TA-00434,25.4,1.65,45,2,63.5
TA-00435,15.88,1.65,46,2,31.75
TA-00436,25.4,1.65,12,0,0
TA-00437,19.05,1.65,150,8,38.1
TA-00438,19.05,1.65,157,7,38.1
TA-00439,19.05,1.65,42,2,50.8
TA-00440,25.4,2.41,129,4,50.8
TA-00441,25.4,2.41,113,4,63.5
TA-00442,15.88,1.65,120,8,38.1
TA-00443,25.4,2.41,49,2,63.5
TA-00444,44.45,1.65,155,5,76.2
TA-00445,25.4,1.24,124,5,50.8
TA-00446,15.88,1.65,89,4,31.75
TA-00447,15.88,1.65,81,2,31.75
TA-00448,15.88,1.65,85,4,31.75
TA-00449,15.88,1.65,49,0,0
TA-00450,25.4,1.65,77,4,50.8
TA-00451,25.4,1.65,76,4,50.8
TA-00452,15.88,1.65,91,4,31.75
TA-00453,6.35,0.71,58,3,19.05
TA-00456,44.45,1.65,37,1,101.6
TA-00457,57.15,1.65,106,3,127
TA-00458,25.4,1.65,27,1,63.5
TA-00459,25.4,1.65,48,1,63.5
TA-00460,25.4,1.65,30,1,63.5
TA-00461,25.4,1.65,40,2,63.5
TA-00463,25.4,1.65,190,6,63.5
TA-00464,25.4,1.65,218,7,63.5
TA-00466,63.5,1.65,142,5,88.9
TA-00467,9.52,1.24,42,2,19.05
TA-00468,9.52,1.24,33,2,19.05
TA-00470,6.35,0.89,135,8,19.05
TA-00471,9.52,0.89,54,3,19.05
TA-00472,9.52,0.89,29,3,19.05
TA-00474,6.35,0.89,94,4,19.05
TA-00475,6.35,0.89,269,7,19.05
TA-00476,25.4,1.65,107,6,50.8
TA-00478,25.4,2.41,106,4,50.8
TA-00479,12.7,1.24,16,1,25.4
TA-00480,12.7,1.24,76,1,38.1
TA-00481,19.05,2.11,50,2,50.8
TA-00482,6.35,0.89,40,3,19.05
TA-00483,6.35,0.89,34,3,19.05
TA-00485,12.7,0.89,39,2,25.4
TA-00486,63.5,1.65,236,4,101.6
TA-00487,15.88,1.65,137,10,31.75
TA-00488,15.88,1.65,142,6,38.1
TA-00489,15.88,1.65,104,5,38.1
TA-00490,15.88,1.65,152,8,38.1
TA-00491,15.88,1.65,139,7,38.1
TA-00492,15.88,1.65,221,10,38.1
TA-00493,15.88,1.65,185,9,38.1
TA-00494,15.88,1.65,214,10,38.1
TA-00495,15.88,1.65,201,10,38.1
TA-00496,15.88,1.65,193,6,38.1
TA-00497,15.88,1.65,193,6,38.1
TA-00498,15.88,1.65,43,2,38.1
TA-00499,15.88,1.65,77,5,38.1
TA-00500,15.88,1.65,43,2,38.1
TA-00501,15.88,1.65,107,6,31.75
TA-00502,15.88,1.65,77,7,31.75
TA-00503,15.88,1.65,172,6,31.75
TA-00504,15.88,1.65,122,5,50.8
TA-00505,12.7,1.65,69,5,19.05
TA-00506,12.7,1.65,69,5,19.05
TA-00508,9.52,0.89,153,2,19.05
TA-00509,9.52,0.89,151,2,19.05
TA-00510,19.05,1.24,129,3,38.1
TA-00511,12.7,1.24,34,2,25.4
TA-00512,15.88,1.65,77,4,38.1
TA-00514,15.88,1.65,79,4,38.1
TA-00516,15.88,1.65,74,4,38.1
TA-00517,19.05,1.65,129,6,38.1
TA-00518,19.05,1.65,238,9,38.1
TA-00519,22.22,1.65,179,8,50.8
TA-00520,19.05,1.65,66,3,38.1
TA-00521,22.22,1.65,110,5,38.1
TA-00523,9.52,1.24,150,8,19.05
TA-00524,9.52,1.24,92,4,19.05
TA-00525,9.52,1.24,66,4,19.05
TA-00526,9.52,1.24,71,3,19.05
TA-00527,9.52,0.89,26,2,31.75
TA-00528,9.52,0.89,22,2,31.75
TA-00529,12.7,1.65,197,8,38.1
TA-00530,25.4,1.65,82,2,50.8
TA-00531,12.7,1.65,74,5,25.4
TA-00532,25.4,1.65,29,1,63.5
TA-00533,12.7,1.65,89,6,25.4
TA-00534,25.4,1.65,49,2,101.6
TA-00535,12.7,1.24,142,2,25.4
TA-00536,19.05,1.65,42,2,50.8
TA-00537,19.05,1.65,69,2,38.1
TA-00538,25.4,3.05,197,6,63.5
TA-00539,25.4,3.05,245,6,63.5
TA-00540,25.4,1.65,89,4,63.5
TA-00541,6.35,0.89,30,2,19.05
TA-00542,6.35,0.89,37,2,19.05
TA-00543,12.7,0.89,17,1,25.4
TA-00544,6.35,0.89,58,3,19.05
TA-00545,6.35,0.71,206,11,19.05
TA-00546,9.52,0.71,208,8,31.75
TA-00547,15.88,1.65,138,8,50.8
TA-00548,12.7,0.89,43,3,38.1
TA-00549,25.4,1.65,26,1,50
TA-00551,19.05,2.11,62,3,25.4
TA-00552,19.05,2.11,159,6,38.1
TA-00553,19.05,2.11,159,6,38.1
TA-00554,12.7,1.24,75,5,38.1
TA-00556,9.52,0.89,45,3,31.75
TA-00557,25.4,2.41,66,4,63.5
TA-00558,19.05,2.11,107,3,38.1
TA-00559,19.05,2.11,107,3,38.1
TA-00560,12.7,2.11,85,3,38.1
TA-00561,12.7,2.11,85,3,38.1
TA-00562,9.52,0.89,58,7,19.05
TA-00563,9.52,0.71,114,5,19.05
TA-00564,19.05,2.11,96,2,50.8
TA-00565,19.05,2.11,96,2,50.8
TA-00566,27.2,3.2,89,4,70
TA-00567,6.35,0.89,33,2,19.05
TA-00568,19.05,2.41,71,5,38.1
TA-00569,19.05,2.11,96,5,38.1
TA-00570,19.05,2.11,96,5,38.1
TA-00571,25.4,1.65,28,0,0
TA-00572,12.7,1.65,81,4,38.1
TA-00573,19.05,2.11,144,4,38.1
TA-00574,19.05,2.11,146,4,38.1
TA-00575,15.88,1.65,81,4,38.1
TA-00576,15.88,1.65,107,4,38.1
TA-00577,15.88,1.65,49,3,38.1
TA-00578,19.05,2.11,134,4,38.1
TA-00579,19.05,2.11,136,4,38.1
TA-00580,19.05,2.11,32,2,38.1
TA-00581,19.05,2.11,37,2,38.1
TA-00582,12.7,1.65,44,2,25.4
TA-00583,12.7,1.65,41,3,25.4
TA-00584,12.7,1.65,124,7,25.4
TA-00585,12.7,1.65,118,4,25.4
TA-00586,9.52,0.89,46,2,31.75
TA-00587,12.7,0.89,120,5,38.1
TA-00588,25.4,2.11,126,3,63.5
TA-00589,19.05,1.65,75,2,38.1
TA-00592,6.35,0.71,205,5,19.05
TA-00593,6.35,0.71,169,5,19.05
TA-00594,6.35,0.71,184,5,19.05
TA-00595,6.35,0.89,135,8,19.05
TA-00597,19.05,2.11,100,3,50.8
TA-00598,19.05,2.11,100,3,50.8
TA-00599,19.05,2.11,52,4,50.8
TA-00601,50.8,1.65,73,2,101.6
TA-00602,19.05,1.65,218,5,50.8
TA-00603,31.75,1.65,59,2,76.2
TA-00604,25.4,1.65,44,2,50.8
TA-00606,15.88,1.65,88,3,31.75
TA-00607,15.88,1.65,178,6,31.75
TA-00609,19.05,1.65,37,3,38.1
TA-00610,9.52,0.89,41,2,31.75
TA-00611,9.52,0.89,66,4,31.75
TA-00612,25.4,2.11,81,3,63.5
TA-00613,25.4,2.11,133,6,63.5
TA-00614,9.52,0.89,47,3,31.75
TA-00615,34.92,1.65,72,2,63.5
TA-00620,9.52,1.24,48,2,19.05
TA-00621,12.7,1.65,29,2,19.05
TA-00622,12.7,1.65,77,7,19.05
TA-00623,12.7,1.65,24,2,19.05
TA-00624,12.7,1.65,84,5,19.05
TA-00625,12.7,1.65,69,3,19.05
TA-00626,12.7,1.65,26,3,19.05
TA-00627,12.7,1.24,76,1,38.1
TA-00628,19.05,1.65,90,5,50.8
TA-00629,19.05,1.24,64,2,50.8
TA-00630,19.05,1.24,33,1,50.8
TA-00631,31.75,1.65,95,3,47.62
TA-00633,9.52,0.89,55,5,31.75
TA-00634,9.52,0.89,63,6,31.75
TA-00635,9.52,0.89,90,6,19.05
TA-00636,9.52,0.89,122,8,19.05
TA-00637,63.5,1.65,30,0,0
TA-00639,9.52,0.89,67,5,19.05
TA-00640,9.52,0.89,106,5,19.05
TA-00641,12.7,0.89,77,3,38.1
TA-00642,12.7,0.89,16,1,38.1
TA-00643,9.52,0.89,17,2,31.75
TA-00644,9.52,0.89,55,2,31.75
TA-00645,9.52,0.89,48,2,31.75
TA-00648,15.88,1.65,95,2,50.8
TA-00649,15.88,1.65,95,2,50.8
TA-00650,6.35,0.89,20,2,19.05
TA-00653,34.92,1.65,23,0,0
TA-00654,15.88,1.65,75,2,31.75
TA-00655,6.35,0.89,126,7,19.05
TA-00656,12.7,1.24,120,7,38.1
TA-00657,3.18,0.71,126,7,12.7
TA-00658,34.92,1.65,121,1,63.5
TA-00659,19.05,2.11,85,4,38.1
TA-00660,19.05,2.11,82,5,38.1
TA-00661,15.88,1.65,66,4,38.1
TA-00662,15.88,1.65,69,4,38.1
TA-00663,9.52,0.89,195,0,0
TA-00664,9.52,0.89,7,0,0
TA-00665,9.52,0.89,62,2,31.75
TA-00666,15.88,0.89,9,0,0
TA-00667,9.52,0.89,97,3,31.75
TA-00668,15.88,0.89,17,1,38.1
TA-00669,9.52,0.89,111,2,31.75
TA-00672,34.92,1.65,40,0,0
TA-00673,34.92,1.65,43,0,0
TA-00674,34.92,1.65,26,0,0
TA-00676,12.7,1.24,61,4,25.4
TA-00677,25.4,1.65,100,3,63.5
TA-00678,19.05,1.65,172,4,50.8
TA-00679,15.88,1.65,213,9,38.1
TA-00680,15.88,1.65,208,10,38.1
TA-00681,15.88,1.65,187,9,38.1
TA-00682,15.88,1.65,171,10,38.1
TA-00683,27.2,3.2,180,2,70
TA-00685,19.05,2.11,35,2,38.1
TA-00686,15.88,1.65,49,1,38.1
TA-00687,15.88,1.65,33,1,38.1
TA-00688,6.35,0.89,12,1,19.05
TA-00689,12.7,1.24,16,1,25.4
TA-00690,12.7,1.65,183,3,38.1
TA-00691,9.52,1.65,40,6,19.05
TA-00695,15.88,0.89,143,3,38.1
TA-00696,15.88,0.89,100,3,38.1
TA-00697,19.05,1.24,179,3,50.8
TA-00698,9.52,1.65,65,4,31.75
TA-00699,9.52,0.71,94,4,19.05
TA-00700,9.52,0.71,20,2,19.05
TA-00701,3.18,0.71,17,1,12.7
TA-00702,63.5,1.65,150,4,101.6
TA-00704,15.88,1.65,91,5,31.75
TA-00707,6.35,0.71,69,3,19.05
TA-00708,6.35,0.71,69,3,19.05
TA-00709,15.88,1.65,68,2,50.8
TA-00710,12.7,1.65,117,4,38.1
TA-00711,34,4,213,4,90
TA-00712,27.2,3.2,384,2,70
TA-00713,25.4,2.41,138,6,63.5
TA-00714,25.4,2.41,138,6,63.5
TA-00717,12.7,0.89,72,4,38.1
TA-00720,12.7,1.65,185,4,215.9
TA-00721,12.7,0.89,91,5,19.05
TA-00727,12.7,1.24,114,2,25.4
TA-00728,12.7,1.24,51,2,38.1
TA-00730,9.52,1.24,70,3,31.75
TA-00731,12.7,1.65,36,1,38.1
TA-00732,48.6,5.7,325,2,130
TA-00733,9.52,0.71,31,2,31.75
TA-00735,19.05,1.24,91,6,38.1
TA-00736,19.05,1.24,100,0,0
TA-00737,19.05,1.24,205,3,50.8
TA-00738,25.4,1.65,179,5,63.5
TA-00739,25.4,1.65,153,5,63.5
TA-00740,15.88,1.24,121,4,50.8
TA-00741,15.88,1.24,122,5,50.8
TA-00742,15.88,1.24,144,7,50.8
TA-00743,25.4,1.65,108,5,50.8
TA-00744,19.05,1.24,136,5,50.8
TA-00746,25.4,3.05,59,2,50.8
TA-00749,9.52,1.65,15,2,31.75
TA-00750,15.88,1.65,97,6,38.1
TA-00751,15.88,1.65,105,8,38.1
TA-00752,15.88,1.65,135,8,31.75
TA-00753,6.35,0.89,25,2,19.05
TA-00754,6.35,0.71,198,6,19.05
TA-00755,6.35,0.71,129,7,19.05
TA-00756,6.35,0.71,177,7,19.05
TA-00757,6.35,0.71,165,8,19.05
TA-00758,6.35,0.71,137,4,19.05
TA-00759,12.7,1.65,101,5,38.1
TA-00760,12.7,1.65,53,2,38.1
TA-00761,12.7,1.65,99,6,38.1
TA-00762,15.88,1.65,50,2,38.1
TA-00763,12.7,1.65,70,3,38.1
TA-00764,15.88,1.65,40,2,38.1
TA-00765,12.7,1.65,79,2,38.1
TA-00766,12.7,1.65,105,5,38.1
TA-00767,12.7,1.65,85,3,38.1
TA-00768,12.7,1.65,111,7,38.1
