component_id,weight
C-0748,0.187
C-0749,0.106
C-0750,0.191
C-0751,0.68
C-0752,0.941
C-0753,0.282
C-0754,0.417
C-0755,2.62
C-0756,0.689
C-0757,0.25
C-0758,2.011
C-0759,0.022
C-0760,0.009
C-0761,1.372
C-0762,0.453
C-0763,6.679
C-0764,1.42
C-0765,0.323
C-0766,0.432
C-0767,0.224
C-0768,0.539
C-0769,0.138
C-0770,0.987
C-0771,1.086
C-0772,1.938
C-0773,2.316
C-0774,0.062
C-0775,0.111
C-0776,0.178
C-0777,0.685
C-0778,0.265
C-0779,0.37
C-0780,0.577
C-0781,2.254
C-0782,0.788
C-0783,1.303
C-0784,0.1
C-0785,0.277
C-0786,7.352
C-0787,0.07
C-0788,4.134
C-0789,2.319
C-0790,0.68
C-0791,0.034
C-0792,2.52
C-0793,3.815
C-0794,12.03
C-0795,0.68
C-0796,0.987
C-0797,1.983
C-0798,0.198
C-0799,1.343
C-0800,0.024
C-0801,0.122
C-0802,1.418
C-0803,0.463
C-0804,2.805
C-0805,1.125
C-0806,1.007
C-0807,0.646
C-0808,1.545
C-0809,0.062
C-0810,2.532
C-0811,NA
C-0812,0.85
C-0813,0.001
C-0814,NA
C-0815,NA
C-0816,0.071
C-0817,0.069
C-0818,0.081
C-0819,0.272
C-0820,1.95
C-0821,1.982
C-0822,0.7
C-0823,0.014
C-0824,0.045
C-0825,0.151
C-0826,0.182
C-0827,0.03
C-0828,0.036
C-0829,0.32
C-0830,0.027
C-0831,0.255
C-0832,0.681
C-0833,0.136
C-0834,NA
C-0835,0.226
C-0836,NA
C-0837,0.059
C-0838,0.04
C-0839,1.648
C-0840,2.447
C-0841,0.725
C-0842,NA
C-0843,0.11
C-0844,0.145
C-0845,4.812
C-0846,0.4
C-0847,NA
C-0848,1.361
C-0849,0.237
C-0850,0.7
C-0851,1.8
C-0852,0.047
C-0853,0.509
C-0854,0.041
C-0855,0.002
C-0856,0.068
C-0857,0.396
C-0858,0.983
C-0859,1.782
C-0860,0.018
C-0861,0.005
C-0862,0.278
C-0863,2.178
C-0864,0.018
C-0865,0.019
C-0866,0.019
C-0867,0.025
C-0868,0.022
C-0869,1.112
C-0870,1.232
C-0871,0.566
C-0872,0.01
C-0873,0.01
C-0874,0.001
C-0875,0.765
C-0876,7.92
C-0877,0.01
C-0878,0.025
C-0879,0.117
C-0880,4.378
C-0881,3.713
C-0882,1.05
C-0883,0.08
C-0884,0.033
C-0885,1.23
C-0886,1.09
C-0887,0.9
C-0888,0.785
C-0889,0.016
C-0890,0.41
C-0891,0.465
C-0892,0.055
C-0893,0.31
C-0894,0.156
C-0895,0.397
C-0896,0.028
C-0897,0.241
C-0898,0.005
C-0899,0.426
C-0900,0.456
C-0901,0.015
C-0902,5.457
C-0903,0.528
C-0904,0.668
C-0905,0.21
C-0906,0.087
C-0907,0.02
C-0908,0.16
C-0909,0.034
C-0910,2.543
C-0911,0.201
C-0912,0.458
C-0913,0.1
C-0914,0.101
C-0915,0.006
C-0916,2.74
C-0917,0.286
C-0918,0.53
C-0919,NA
C-0920,0.077
C-0921,0.111
C-0922,0.003
C-0923,0.102
C-0924,0.102
C-0925,0.018
C-0926,0.18
C-0927,0.765
C-0928,0.048
C-0929,0.019
C-0930,0.122
C-0931,5.202
C-0932,0.079
C-0933,1.207
C-0934,0.701
C-0935,0.015
C-0936,0.015
C-0937,0.134
C-0938,0.351
C-0939,0.77
C-0940,0.851
C-0941,0.81
C-0942,0.665
C-0943,1.156
C-0944,0.493
C-0945,0.225
C-0946,1.022
C-0947,0.204
C-0948,0.284
C-0949,0.176
C-0950,0.306
C-0951,0.203
C-0952,0.213
C-0953,0.144
C-0954,0.567
C-0955,0.623
C-0956,0.695
C-0957,0.127
C-0958,0.095
C-0959,0.748
C-0960,0.691
C-0961,0.412
C-0962,0.55
C-0963,0.755
C-0964,0.065
C-0965,0.5
C-0966,1.535
C-0967,1.138
C-0968,6.596
C-0969,0.284
C-0970,0.001
C-0971,0.545
C-0972,1.14
C-0973,0.095
C-0974,1.17
C-0975,0.18
C-0976,0.963
C-0977,0.288
C-0978,1.98
C-0979,0.104
C-0980,0.841
C-0981,0.524
C-0982,0.577
C-0983,4.405
C-0984,4.427
C-0985,2.227
C-0986,0.3
C-0987,0.48
C-0988,0.355
C-0989,4.073
C-0990,1.75
C-0991,0.813
C-0992,1.05
C-0993,0.499
C-0994,0.877
C-0995,1.253
C-0996,1.074
C-0997,5.098
C-0998,6.195
C-0999,1.356
C-1000,0.293
C-1001,0.263
C-1002,0.266
C-1003,NA
C-1004,0.7
C-1005,1.184
C-1006,2.394
C-1007,0.432
C-1008,0.329
C-1009,1.5
C-1010,0.333
C-1011,1.607
C-1012,0.286
C-1013,0.364
C-1014,1.352
C-1015,0.666
C-1016,0.298
C-1017,0.028
C-1018,0.074
C-1019,0.005
C-1020,2.415
C-1021,0.086
C-1022,0.008
C-1023,0.223
C-1024,1.316
C-1025,0.997
C-1026,1.559
C-1027,0.326
C-1028,1.118
C-1029,0.411
C-1030,0.803
C-1031,0.807
C-1032,0.489
C-1033,0.394
C-1034,4.57
C-1035,0.017
C-1036,1.034
C-1037,0.043
C-1038,0.288
C-1039,0.052
C-1040,0.001
C-1041,0.065
C-1042,0.003
C-1043,0.196
C-1044,0.001
C-1045,0.01
C-1046,4.814
C-1047,0.094
C-1048,0.438
C-1049,1.182
C-1050,12.9
C-1051,3.514
C-1052,0.812
C-1053,1.65
C-1054,0.467
C-1055,0.208
C-1056,0.031
C-1057,2.619
C-1058,0.014
C-1059,0.052
C-1060,0.033
C-1061,0.219
C-1062,0.831
C-1063,0.829
C-1064,5.928
C-1065,1.494
C-1066,9.693
C-1067,0.005
C-1068,0.245
C-1069,5.36
C-1070,0.97
C-1071,0.165
C-1072,0.097
C-1073,0.031
C-1074,0.006
C-1075,0.354
C-1076,3.4
C-1077,1.169
C-1078,0.016
C-1079,0.877
C-1080,0.592
C-1081,0.056
C-1082,1.954
C-1083,1.693
C-1084,0.602
C-1085,0.129
C-1086,0.4
C-1087,2.786
C-1088,3.043
C-1089,0.037
C-1090,0.421
C-1091,0.092
C-1092,0.238
C-1093,0.613
C-1094,0.619
C-1095,9.97
C-1096,2.565
C-1097,0.594
C-1098,0.046
C-1099,0.525
C-1100,0.256
C-1101,0.264
C-1102,4.06
C-1103,0.227
C-1104,0.312
C-1105,0.111
C-1106,0.999
C-1107,1.337
C-1108,4.383
C-1109,0.873
C-1110,0.072
C-1111,0.226
C-1112,0.146
C-1113,0.249
C-1114,4.585
C-1115,1.97
C-1116,0.15
C-1117,0.523
C-1118,0.027
C-1119,0.696
C-1120,0.925
C-1121,0.49
C-1122,0.461
C-1123,0.149
C-1124,0.08
C-1125,6
C-1126,0.249
C-1127,0.075
C-1128,1.561
C-1129,1.255
C-1130,0.294
C-1131,6.068
C-1132,0.036
C-1133,0.3
C-1134,0.854
C-1135,1.88
C-1136,NA
C-1137,0.724
C-1138,0.639
C-1139,0.206
C-1140,0.058
C-1141,0.41
C-1142,0.612
C-1143,0.057
C-1144,0.093
C-1145,0.07
C-1146,0.046
C-1147,0.018
C-1148,0.537
C-1149,0.783
C-1150,0.055
C-1151,0.054
C-1152,0.675
C-1153,0.042
C-1154,1.137
C-1155,1.806
C-1156,1.048
C-1157,1.558
C-1158,0.106
C-1159,0.287
C-1160,0.237
C-1161,0.321
C-1162,0.239
C-1163,0.354
C-1164,0.778
C-1165,1.427
C-1166,0.131
C-1167,0.119
C-1168,0.373
C-1169,0.512
C-1170,0.048
C-1171,0.149
C-1172,0.246
C-1173,0.175
C-1174,0.812
C-1175,0.462
C-1176,0.995
C-1177,0.741
C-1178,2.67
C-1179,4.245
C-1180,0.459
C-1181,0.28
C-1182,0.555
C-1183,1.482
C-1184,2.634
C-1185,2.443
C-1186,0.259
C-1187,0.955
C-1188,0.615
C-1189,0.176
C-1190,0.375
C-1191,3.365
C-1192,NA
C-1193,NA
C-1194,0.014
C-1195,0.031
C-1196,0.095
C-1197,0.091
C-1198,0.181
C-1199,0.023
C-1200,0.025
C-1201,0.026
C-1202,0.045
C-1203,1.835
C-1204,1.46
C-1205,0.023
C-1206,0.005
C-1207,0.172
C-1208,0.68
C-1209,0.096
C-1210,0.976
C-1211,0.175
C-1212,1.815
C-1213,0.001
C-1214,0.001
C-1215,0.005
C-1216,0.005
C-1217,0.077
C-1218,0.15
C-1219,0.14
C-1220,0.275
C-1221,0.16
C-1222,0.018
C-1223,0.008
C-1224,0.081
C-1225,NA
C-1226,0.021
C-1227,0.002
C-1228,0.001
C-1229,0.009
C-1230,0.009
C-1231,0.015
C-1232,0.032
C-1233,0.058
C-1234,0.533
C-1235,0.562
C-1236,0.771
C-1237,0.409
C-1238,0.083
C-1239,0.499
C-1240,0.1
C-1241,0.074
C-1242,0.233
C-1243,0.019
C-1244,0.005
C-1245,0.223
C-1246,0.001
C-1247,0.636
C-1248,0.018
C-1249,0.087
C-1250,0.073
C-1251,0.502
C-1252,NA
C-1253,0.094
C-1254,0.2
C-1255,0.69
C-1256,0.14
C-1257,0.06
C-1258,0.075
C-1259,0.215
C-1260,0.08
C-1261,0.077
C-1262,0.907
C-1263,4.633
C-1264,0.209
C-1265,3.13
C-1266,2.102
C-1267,0.173
C-1268,0.022
C-1269,1.463
C-1270,0.198
C-1271,0.205
C-1272,3.353
C-1273,0.095
C-1274,0.115
C-1275,0.582
C-1276,0.706
C-1277,0.232
C-1278,2.871
C-1279,0.059
C-1280,0.11
C-1281,1.889
C-1282,1.132
C-1283,3.207
C-1284,0.725
C-1285,1.219
C-1286,0.599
C-1287,2.015
C-1288,0.698
C-1289,0.699
C-1290,13.77
C-1291,6.927
C-1292,6.259
C-1293,0.112
C-1294,0.19
C-1295,0.571
C-1296,0.719
C-1297,1.554
C-1298,0.576
C-1299,0.026
C-1300,1.734
C-1301,1.811
C-1302,0.376
C-1303,1.763
C-1304,2.316
C-1305,0.241
C-1306,0.148
C-1307,0.17
C-1308,0.454
C-1309,0.26
C-1310,0.012
C-1311,0.005
C-1312,0.009
C-1313,0.01
C-1314,0.405
C-1315,NA
C-1316,0.021
C-1317,0.566
C-1318,NA
C-1319,0.152
C-1320,0.011
C-1321,0.402
C-1322,0.074
C-1323,0.005
C-1324,0.189
C-1325,0.005
C-1326,0.419
C-1327,1.225
C-1328,0.383
C-1329,0.346
C-1330,0.242
C-1331,2.192
C-1332,0.012
C-1333,1.286
C-1334,1.923
C-1335,2.821
C-1336,1.88
C-1337,1.806
C-1338,0.146
C-1339,0.521
C-1340,0.146
C-1341,0.001
C-1342,0.098
C-1343,0.059
C-1344,0.136
C-1345,0.332
C-1346,0.131
C-1347,0.59
C-1348,0.654
C-1349,0.636
C-1350,0.635
C-1351,0.174
C-1352,2.56
C-1353,0.569
C-1354,0.2
C-1355,0.033
C-1356,0.025
C-1357,0.62
C-1358,NA
C-1359,0.025
C-1360,NA
C-1361,NA
C-1362,NA
C-1363,NA
C-1364,NA
C-1365,0.104
C-1366,1.64
C-1367,0.155
C-1368,0.093
C-1369,0.003
C-1370,0.598
C-1371,0.758
C-1372,0.1
C-1373,0.118
C-1374,0.023
C-1375,0.041
C-1376,0.164
C-1377,0.454
C-1378,0.47
C-1379,0.025
C-1380,0.29
C-1381,0.033
C-1382,0.025
C-1383,0.009
C-1384,0.074
C-1385,0.014
C-1386,0.005
C-1387,0.13
C-1388,2.6
C-1389,0.546
C-1390,0.494
C-1391,0.75
C-1392,0.077
C-1393,0.37
C-1394,0.209
C-1395,NA
C-1396,NA
C-1397,0.011
C-1398,0.56
C-1399,0.15
C-1400,0.332
C-1401,0.085
C-1402,1.2
C-1403,0.003
C-1404,1.2
C-1405,1.053
C-1406,0.148
C-1407,NA
C-1408,0.24
C-1409,1
C-1410,0.005
C-1411,0.057
C-1412,1.327
C-1413,1.45
C-1414,0.091
C-1415,0.127
C-1416,0.01
C-1417,0.034
C-1418,0.11
C-1419,1.107
C-1420,0.009
C-1421,0.046
C-1422,0.279
C-1423,0.17
C-1424,0.495
C-1425,0.085
C-1426,0.071
C-1427,0.586
C-1428,0.475
C-1429,0.726
C-1430,0.34
C-1431,0.1
C-1432,1.606
C-1433,0.614
C-1434,0.35
C-1435,0.023
C-1436,0.021
C-1437,1.36
C-1438,0.019
C-1439,0.045
C-1440,1.171
C-1441,0.106
C-1442,0.343
C-1443,0.09
C-1444,2.021
C-1445,0.363
C-1446,1.273
C-1447,0.429
C-1448,0.465
C-1449,0.42
C-1450,1.213
C-1451,0.35
C-1452,0.276
C-1453,0.389
C-1454,1.414
C-1455,2.072
C-1456,2.465
C-1457,1.449
C-1458,1.993
C-1459,1.354
C-1460,1.23
C-1461,0.851
C-1462,2.067
C-1463,1.725
C-1464,1.373
C-1465,1.811
C-1466,0.079
C-1467,0.765
C-1468,0.128
C-1469,0.047
C-1470,0.099
C-1471,0.784
C-1472,NA
C-1473,NA
C-1474,0.022
C-1475,0.031
C-1476,0.032
C-1477,NA
C-1478,0.05
C-1479,0.061
C-1480,0.059
C-1481,0.058
C-1482,0.14
C-1483,NA
C-1484,0.907
C-1485,0.009
C-1486,NA
C-1487,1.529
C-1488,1.426
C-1489,0.04
C-1490,1
C-1491,0.03
C-1492,0.091
C-1493,0.09
C-1494,0.119
C-1495,0.106
C-1496,1.023
C-1497,0.103
C-1498,0.093
C-1499,2
C-1500,3.62
C-1501,1.2
C-1502,0.418
C-1503,0.455
C-1504,0.826
C-1505,0.045
C-1506,0.021
C-1507,0.15
C-1508,0.1
C-1509,0.2
C-1510,0.19
C-1511,0.035
C-1512,0.163
C-1513,NA
C-1514,1.5
C-1515,0.301
C-1516,2.225
C-1517,0.09
C-1518,0.2
C-1519,0.723
C-1520,0.6
C-1521,1.298
C-1522,2.372
C-1523,0.038
C-1524,0.339
C-1525,0.055
C-1526,0.102
C-1527,0.631
C-1528,0.28
C-1529,0.122
C-1530,0.067
C-1531,5
C-1532,0.291
C-1533,0.014
C-1534,0.654
C-1535,0.052
C-1536,0.052
C-1537,0.084
C-1538,0.454
C-1539,0.363
C-1540,0.059
C-1541,0.148
C-1542,0.272
C-1543,0.227
C-1544,0.133
C-1545,0.244
C-1546,0.026
C-1547,0.091
C-1548,0.363
C-1549,0.12
C-1550,0.236
C-1551,0.136
C-1552,0.354
C-1553,0.176
C-1554,0.045
C-1555,0.09
C-1556,4.175
C-1557,0.091
C-1558,2.95
C-1559,2.219
C-1560,6.9
C-1561,0.054
C-1562,NA
